,tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation
500,Lung,1,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE31",mesothelial cell,mesothelial cell,CL:0000077,goblet cell
501,Lung,1,1.0,"GENE85,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,basophil/mast cell
502,Lung,1,1.0,"GENE63,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,nonclassical monocyte
503,Lung,1,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE73",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell
504,Lung,2,0.25,"ARHGEF26,GENE9,LMO7,AGER,EMP2,GENE90,RTKN2,GPRC5A,SPOCK2,DST,SCEL,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
505,Lung,2,0.25,"GENE94,GENE30,MS4A1,LINC00926,BLK,SP140,CD79A,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B-cell
506,Lung,2,0.25,"CLDN1,GENE65,S100A2,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE43,ITGA2,KRT19",Basal,basal cell,CL:0000646,basal epithelial cell
507,Lung,2,0.25,"CSF3R,S100A9,S100A8,CTSS,METTL9,GENE57,CD99,VCAN,S100A12,FCN1,CD300E,GENE83",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,nonclassical monocyte
508,Lung,2,0.25,"CD2,MALAT1,BCL11B,CD6,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE14,GENE4",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell
509,Lung,2,0.25,"C20orf85,DNAH6,FAM92B,GENE12,GENE87,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,ciliated epithelial cell
510,Lung,2,0.25,"FCGR2B,HLA-DMB,HLA-DQA1,CLEC10A,CSF2RA,GPR183,FPR3,HLA-DPB1,RGS1,GENE53,GENE97,MS4A6A",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
511,Lung,2,0.25,"C1S,LUM,ABLIM1,CFD,GENE52,C3,C1R,FBLN1,DCN,GENE42,SLIT2,ADH1B",Fibroblast,fibroblast,CL:0000057,nonclassical monocyte
512,Lung,2,0.25,"TFF3,TFPI,CCL21,GENE18,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,TIMP3,TBX1,GENE16",Lymphatic,,,Lymphatic Endothelial Cells
513,Lung,2,0.25,"APOC1,C1QB,GENE90,C1QA,VSIG4,SLCO2B1,ACP5,ITGAX,GENE85,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,macrophage
514,Lung,2,0.25,"KLRF1,GENE47,GNLY,GZMB,FCGR3A,NKG7,GENE49,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,natural killer cell
515,Lung,2,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE64,HSP90B1,GENE31,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,b cell
516,Lung,2,0.25,"SFTPA2,GENE61,SLC34A2,SFTPC,LAMP3,ABCA3,GENE12,SFTPA1,SFTPD,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type II cell
517,Lung,2,0.25,"KIT,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE87,CD44,MS4A2,TPSAB1,GATA2,GENE41",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
518,Lung,2,0.25,"LILRB2,GENE8,COTL1,RPS19,GENE32,LST1,AIF1,FCGR3A,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,nonclassical monocyte
519,Lung,2,0.25,"GENE47,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,CD81,GENE2,FCN3,EPAS1,FLNB",Capillary,,,endothelial cell
520,Lung,2,0.25,"CD3D,GZMH,CD3G,GENE37,CD8B,GENE24,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,T lymphocyte
521,Lung,2,0.25,"SCGB3A2,DSTN,CYB5A,GENE69,CEACAM6,PIGR,CTSE,SFTPB,GENE38,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,secretory club cell
522,Lung,2,0.25,"CALD1,ASPN,COL6A3,POSTN,LTBP1,BGN,GENE44,GENE11,COL3A1,COL1A1,COL1A2,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
523,Lung,2,0.25,"GENE9,PTPRE,GZMB,IRF7,TYROBP,GENE95,PLD4,NPC2,PPP1R14B,IL3RA,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
524,Lung,2,0.25,"TPX2,BIRC5,NUSAP1,STMN1,UBE2C,TYMS,GENE87,ANLN,KPNA2,CDK1,H2AFZ,GENE20",Proliferating Macrophage,,,Uncertain/Potentially Proliferating Cells
525,Lung,2,0.25,"BIRC5,GENE65,NUSAP1,KIF2C,SMC4,UBE2C,H2AFV,AURKB,GENE84,CENPF,HMGB2,TOP2A",Proliferating NK/T,,,proliferating cell
526,Lung,2,0.25,"GENE7,POSTN,GENE27,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,none
527,Lung,2,0.25,"GENE59,GENE3,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,goblet cell
