,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,1500,1500,1500,1500,1500,3,Lung,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE86",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic Endothelial Cells,CL:0002138,lymphatic endothelial cells,CL:0002138,Lymphatic endothelial cells,14. Lymphatic endothelial cell,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,0,0,0,0,1.0000,1.0000,1.0000,1.0000
1,1501,1501,1501,1501,1501,3,Lung,1.0,"GENE15,MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,Smooth Muscle Cells,CL:0000192,smooth muscle cells,CL:0000192,Smooth muscle cells,15. Smooth muscle cell,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,2,2,2,2,0.6667,0.6667,0.6667,0.6667
2,1502,1502,1502,1502,1502,3,Lung,1.0,"GENE50,AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,Dendritic Cells,CL:0000451,B cells,CL:0000236,Plasmacytoid dendritic cells,16. Plasmacytoid dendritic cell,CL:0000784,CL:0000784,plasmacytoid dendritic cell,plasmacytoid dendritic cell,dendritic cell,b cell,0,0,1,-1,0.8333,0.4000,1.0000,1.0000
3,1503,1503,1503,1503,1503,3,Lung,1.0,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB,GENE58",club cell,club cell,CL:0000158,Club Cells,CL:0000158,secretory epithelial cells,CL:4030006,Goblet cells,17. Club cell,CL:0000160,CL:0000158,goblet cell,club cell,club cell,fallopian tube secretory epithelial cell,-1,0,0,-1,1.0000,0.2857,0.4286,1.0000
4,1504,1504,1504,1504,1504,3,Lung,1.0,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU,GENE60",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,Endothelial Cells,CL:0000115,endothelial cells,CL:0000115,Endothelial cells,18. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3,0.5000,0.5000,0.5000,0.5000
5,1505,1505,1505,1505,1505,3,Lung,1.0,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4,GENE73",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,Pericytes,CL:0000669,smooth muscle cells,CL:0000192,Smooth muscle cells,19. Smooth muscle cell,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,pericyte,smooth muscle cell,1,1,-1,1,0.2857,0.8000,0.8000,0.8000
6,1506,1506,1506,1506,1506,3,Lung,1.0,"GENE85,AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,Neurons,CL:0000540,unknown,CL:0000747,Telocytes,20. Brain-specific cell,CL:0017004,CL:2000005,telocyte,brain macroglial cell,neuron,cyanophore,-1,-1,9,-1,0.3333,0.4000,0.6000,0.2222
7,1507,1507,1507,1507,1507,3,Lung,1.0,"COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2,GENE12",pericyte cell,pericyte,CL:0000669,Pericytes,CL:0000669,smooth muscle cells,CL:0000192,Vascular smooth muscle cells,21. Vascular smooth muscle cell,CL:0000359,CL:0000359,vascular associated smooth muscle cell,vascular associated smooth muscle cell,pericyte,smooth muscle cell,-1,-1,0,-1,1.0000,0.3333,0.2857,0.2857
8,1508,1508,1508,1508,1508,3,Lung,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE68",mesothelial cell,mesothelial cell,CL:0000077,Mesothelial Cells,CL:0000077,secretory cells,CL:0000151,Chondrocytes,22. Synoviocyte,CL:0000138,CL:0000214,chondrocyte,synovial cell,mesothelial cell,secretory cell,-1,-1,0,-1,1.0000,0.2000,0.2000,0.6667
9,1509,1509,1509,1509,1509,3,Lung,1.0,"GENE21,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,Neurons,CL:0000540,unknown,CL:0000747,Mesangial cells,23. Fibroblast,CL:0000650,CL:0000057,mesangial cell,fibroblast,neuron,cyanophore,-1,0,10,-1,0.3333,0.4000,0.5000,1.0000
