,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation
0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,lung epithelial cell
1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,B-cell
2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,pulmonary epithelial cell
3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,natural killer t cell
5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,fibroblast
6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,plasma cell
8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,club cell
9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage
10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,natural killer cell
11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,fibroblast
12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar epithelial cell type II
13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,nonclassical monocyte
15,Lung,1,0.25,"CDH5,CD81",Capillary,,,endothelial cell
16,Lung,1,0.25,"RPL34,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,unidentified
17,Lung,1,0.25,"KIAA1324,CTSE",Club,club cell,CL:0000158,goblet cell
18,Lung,1,0.25,"POSTN,CALD1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
19,Lung,1,0.25,"NPC2,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,pulmonary alveolar type 2 cell
20,Lung,1,0.25,"TPX2,NUSAP1",Proliferating Macrophage,,,proliferating epithelial cells
21,Lung,1,0.25,"KIF2C,CENPF",Proliferating NK/T,,,Proliferating_Cell
