,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,2000,2000,2000,2000,Lung,4,1.0,"GNG11,EMCN,IL1RL1,EDNRB,RAMP2,CA4,TIMP3,SPARCL1,HPGD,CLDN5",capillary aerocyte,,,epithelial cell,Capillary Aerocyte,"Capillary Aerocyte, Lymphatic, Pericyte, Mesothelial, Platelet/Megakaryocyte, Capillary, Capillary Intermediate 1, Basophil/Mast 1, Basophil/Mast 2",Capillary Aerocyte,"Capillary Aerocyte, Lymphatic, Pericyte",0,1.0000,-1,0.2222,-1,0.2222,0,1.0000
1,2001,2001,2001,2001,Lung,4,1.0,"MYRF,MS4A15,PKDCC,UPK3B,RTKN2,SCEL,ITLN2,NTM,NCKAP5,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Mesothelial",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,1,-1,1,-1,1,-1,1,-1
2,2002,2002,2002,2002,Lung,4,1.0,"SPARCL1,VWF,LIFR,C7,TIMP3,ACKR1,RAMP3,PRSS23,CLU,IGFBP7",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,"Vein, Bronchial Vessel 1","Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte, Vein, Artery, Capillary, Alveolar Fibroblast, Basophil/Mast 1, Basophil/Mast 2, Bronchial Vessel 1, Plasma",Vein,"Bronchial Vessel 1, Vein, Plasma",1,-1,-1,-1,-1,0.1818,-1,-1
3,2003,2003,2003,2003,Lung,4,1.0,"MGP,RARRES2,C1S,MFAP4,C7,FBLN1,DCN,PTGDS,LUM,ADH1B",alveolar fibroblast,,,fibroblast,"Lymphatic, Alveolar Fibroblast","Club, Artery, Vein, Bronchial Vessel 1, Myofibroblast, Adventitial Fibroblast, Alveolar Fibroblast, IGSF21+ Dendritic, Lymphatic, Alveolar Fibroblast",Lymphatic,"Lymphatic, Alveolar Fibroblast",-1,0.5714,0,1.0000,0,1.0000,0,1.0000
4,2004,2004,2004,2004,Lung,4,1.0,"SEMA3D,PROX1,CCL21,RELN,HOXD9,SCN3B,FOXC2,MMRN1,GPR182,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Fibromyocyte",Lymphatic,Lymphatic,-1,0.2500,-1,0.2500,-1,0.2500,-1,0.2500
5,2005,2005,2005,2005,Lung,4,1.0,"DES,CARMN,PLN,LMOD1,PLAC9,CNN1,CRYAB,PPP1R14A,ACTG2,MYH11",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,Airway Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",-1,-1,-1,0.5714,-1,0.5714,-1,-1
6,2006,2006,2006,2006,Lung,4,1.0,"SPIB,FAM129C,LILRA4,AL357143.1,CLEC4C,AL139020.1,MZB1,PLD4,LAMP5,SCT",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"B, Plasmacytoid Dendritic, Nonclassical Monocyte, Intermediate Monocyte",Plasmacytoid Dendritic,"Plasmacytoid Dendritic, B",0,1.0000,0,1.0000,-1,0.5000,0,1.0000
7,2007,2007,2007,2007,Lung,4,1.0,"NEDD4L,CEACAM6,SCGB3A2,PIGR,SFTPB,CYP2B7P,ELF3,FOLR1,GPRC5A,WFDC2",club cell,club cell,CL:0000158,epithelial cell,Club,"Club, Goblet, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Platelet/Megakaryocyte",Club,"Signaling Alveolar Epithelial Type 2, Club",0,1.0000,-1,0.5455,-1,0.6000,0,1.0000
8,2008,2008,2008,2008,Lung,4,1.0,"PLVAP,LIFR,CLU,C7,ACKR1,SPARCL1,VWF,NPDC1,IGFBP7,CLDN5",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,"Vein, Bronchial Vessel 1","Bronchial Vessel 1, Bronchial Vessel 2, Plasmacytoid Dendritic, Signaling Alveolar Epithelial Type 2, Artery, Vein, Capillary, Alveolar Fibroblast, Bronchial Vessel 1, Plasma",Vein,"Bronchial Vessel 1, Vein, Plasma, Alveolar Fibroblast",-1,-1,-1,0.2222,-1,0.2000,-1,-1
9,2009,2009,2009,2009,Lung,4,1.0,"PRELP,C2orf40,COX4I2,PDGFRB,GJA4,PPP1R14A,LMOD1,MYH11,CCN5,BGN",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,"Capillary Aerocyte, Pericyte","Lymphatic, Myofibroblast, Alveolar Fibroblast, Ciliated, Proximal Ciliated, Vascular Smooth Muscle, Platelet/Megakaryocyte, Pericyte, Artery, Capillary",Lymphatic,"Capillary, Pericyte, Lymphatic",-1,0.2500,-1,0.2857,-1,0.3333,-1,0.2857
