,Unnamed: 0,tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new,RAG_clid,RAG_clname,manual_clid,manual_clname
0,500,Lung,1,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE31",mesothelial cell,mesothelial cell,CL:0000077,goblet cell,-1,0.5000,CL:0000077,mesothelial cell,CL:0000160,goblet cell
1,501,Lung,1,1.0,"GENE85,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,basophil/mast cell,-1,0.3333,CL:0000057,fibroblast,CL:0002028,basophil mast progenitor cell
2,502,Lung,1,1.0,"GENE63,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,nonclassical monocyte,1,0.8000,CL:0002393,intermediate monocyte,CL:0000576,monocyte
3,503,Lung,1,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE73",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell,-1,0.5000,CL:0017000,pulmonary ionocyte,CL:0000160,goblet cell
4,504,Lung,2,0.25,"ARHGEF26,GENE9,LMO7,AGER,EMP2,GENE90,RTKN2,GPRC5A,SPOCK2,DST,SCEL,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell,0,1.0000,CL:0002062,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell
5,505,Lung,2,0.25,"GENE94,GENE30,MS4A1,LINC00926,BLK,SP140,CD79A,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B-cell,3,0.7000,CL:0000819,B-1 B cell,CL:0000236,B cell
6,506,Lung,2,0.25,"CLDN1,GENE65,S100A2,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE43,ITGA2,KRT19",Basal,basal cell,CL:0000646,basal epithelial cell,-1,0.4286,CL:0002324,basal-myoepithelial cell of mammary gland,CL:0002236,basal epithelial cell of prostatic duct
7,507,Lung,2,0.25,"CSF3R,S100A9,S100A8,CTSS,METTL9,GENE57,CD99,VCAN,S100A12,FCN1,CD300E,GENE83",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,nonclassical monocyte,1,0.8000,CL:0001054,CD14-positive monocyte,CL:0000576,monocyte
8,508,Lung,2,0.25,"CD2,MALAT1,BCL11B,CD6,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE14,GENE4",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell,2,0.6000,CL:0000492,CD4-positive helper T cell,CL:0000084,t cell
9,509,Lung,2,0.25,"C20orf85,DNAH6,FAM92B,GENE12,GENE87,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,ciliated epithelial cell,-1,-1,PATO:0001408,ciliated,CL:0000067,ciliated epithelial cell
10,510,Lung,2,0.25,"FCGR2B,HLA-DMB,HLA-DQA1,CLEC10A,CSF2RA,GPR183,FPR3,HLA-DPB1,RGS1,GENE53,GENE97,MS4A6A",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte,-1,-1,PATO:0002045,dendritic,CL:0000576,monocyte
11,511,Lung,2,0.25,"C1S,LUM,ABLIM1,CFD,GENE52,C3,C1R,FBLN1,DCN,GENE42,SLIT2,ADH1B",Fibroblast,fibroblast,CL:0000057,nonclassical monocyte,-1,0.3333,CL:0000057,fibroblast,CL:0000576,monocyte
12,512,Lung,2,0.25,"TFF3,TFPI,CCL21,GENE18,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,TIMP3,TBX1,GENE16",Lymphatic,,,Lymphatic Endothelial Cells,-1,0.2500,CL:0002554,fibroblast of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel
13,513,Lung,2,0.25,"APOC1,C1QB,GENE90,C1QA,VSIG4,SLCO2B1,ACP5,ITGAX,GENE85,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,macrophage,0,1.0000,CL:0000235,macrophage,CL:0000235,macrophage
14,514,Lung,2,0.25,"KLRF1,GENE47,GNLY,GZMB,FCGR3A,NKG7,GENE49,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell
15,515,Lung,2,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE64,HSP90B1,GENE31,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,b cell,4,0.6667,CL:0000786,plasma cell,CL:0000236,b cell
16,516,Lung,2,0.25,"SFTPA2,GENE61,SLC34A2,SFTPC,LAMP3,ABCA3,GENE12,SFTPA1,SFTPD,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type II cell,0,1.0000,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell
17,517,Lung,2,0.25,"KIT,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE87,CD44,MS4A2,TPSAB1,GATA2,GENE41",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell,2,0.5000,CL:0002028,basophil mast progenitor cell,CL:0000097,mast cell
18,518,Lung,2,0.25,"LILRB2,GENE8,COTL1,RPS19,GENE32,LST1,AIF1,FCGR3A,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,nonclassical monocyte,2,0.6667,CL:0002396,"CD14-low, CD16-positive monocyte",CL:0000576,monocyte
19,519,Lung,2,0.25,"GENE47,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,CD81,GENE2,FCN3,EPAS1,FLNB",Capillary,,,endothelial cell,4,-1,UBERON:0001982,capillary,CL:0000115,endothelial cell
20,520,Lung,2,0.25,"CD3D,GZMH,CD3G,GENE37,CD8B,GENE24,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,T lymphocyte,3,0.6667,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000084,T cell
21,521,Lung,2,0.25,"SCGB3A2,DSTN,CYB5A,GENE69,CEACAM6,PIGR,CTSE,SFTPB,GENE38,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,secretory club cell,0,1.0000,CL:0000158,club cell,CL:0000158,club cell
22,522,Lung,2,0.25,"CALD1,ASPN,COL6A3,POSTN,LTBP1,BGN,GENE44,GENE11,COL3A1,COL1A1,COL1A2,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast,-1,0.6000,CL:0000186,myofibroblast cell,CL:0000057,fibroblast
