,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
1500,1500,1500,1500,1500,3,Lung,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE86",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic Endothelial Cells,CL:0002138,lymphatic endothelial cells,CL:0002138,Lymphatic endothelial cells,14. Lymphatic endothelial cell,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,0,0,0,0
1501,1501,1501,1501,1501,3,Lung,1.0,"GENE15,MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,Smooth Muscle Cells,CL:0000192,smooth muscle cells,CL:0000192,Smooth muscle cells,15. Smooth muscle cell,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,2,2,2,2
1502,1502,1502,1502,1502,3,Lung,1.0,"GENE50,AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,Dendritic Cells,CL:0000451,B cells,CL:0000236,Plasmacytoid dendritic cells,16. Plasmacytoid dendritic cell,CL:0000784,CL:0000784,plasmacytoid dendritic cell,plasmacytoid dendritic cell,dendritic cell,b cell,0,0,1,-1
1503,1503,1503,1503,1503,3,Lung,1.0,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB,GENE58",club cell,club cell,CL:0000158,Club Cells,CL:0000158,secretory epithelial cells,CL:4030006,Goblet cells,17. Club cell,CL:0000160,CL:0000158,goblet cell,club cell,club cell,fallopian tube secretory epithelial cell,-1,0,0,-1
1504,1504,1504,1504,1504,3,Lung,1.0,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU,GENE60",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,Endothelial Cells,CL:0000115,endothelial cells,CL:0000115,Endothelial cells,18. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3
1505,1505,1505,1505,1505,3,Lung,1.0,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4,GENE73",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,Pericytes,CL:0000669,smooth muscle cells,CL:0000192,Smooth muscle cells,19. Smooth muscle cell,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,pericyte,smooth muscle cell,1,1,-1,1
1506,1506,1506,1506,1506,3,Lung,1.0,"GENE85,AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,Neurons,CL:0000540,unknown,CL:0000747,Telocytes,20. Brain-specific cell,CL:0017004,CL:2000005,telocyte,brain macroglial cell,neuron,cyanophore,-1,-1,9,-1
1507,1507,1507,1507,1507,3,Lung,1.0,"COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2,GENE12",pericyte cell,pericyte,CL:0000669,Pericytes,CL:0000669,smooth muscle cells,CL:0000192,Vascular smooth muscle cells,21. Vascular smooth muscle cell,CL:0000359,CL:0000359,vascular associated smooth muscle cell,vascular associated smooth muscle cell,pericyte,smooth muscle cell,-1,-1,0,-1
1508,1508,1508,1508,1508,3,Lung,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE68",mesothelial cell,mesothelial cell,CL:0000077,Mesothelial Cells,CL:0000077,secretory cells,CL:0000151,Chondrocytes,22. Synoviocyte,CL:0000138,CL:0000214,chondrocyte,synovial cell,mesothelial cell,secretory cell,-1,-1,0,-1
1509,1509,1509,1509,1509,3,Lung,1.0,"GENE21,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,Neurons,CL:0000540,unknown,CL:0000747,Mesangial cells,23. Fibroblast,CL:0000650,CL:0000057,mesangial cell,fibroblast,neuron,cyanophore,-1,0,10,-1
1510,1510,1510,1510,1510,3,Lung,1.0,"GENE29,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,Monocyte,CL:0000576,Eosinophils,CL:0000771,Monocytes,24. Neutrophil,CL:0000576,CL:0000775,monocyte,neutrophil,monocyte,eosinophil,1,-1,1,-1
1511,1511,1511,1511,1511,3,Lung,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE90",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,Ionocyte,CL:0005006,Type II alveolar cells,CL:0002063,Salivary gland cells,25. Taste receptor cell,CL:0009005,CL:0000209,salivary gland cell,taste receptor cell,ionocyte,pulmonary alveolar type 2 cell,-1,-1,1,-1
1512,1512,1512,1512,1512,4,Lung,0.25,"ARHGEF26,LMO7,AGER,EMP2,GENE37,RTKN2,GPRC5A,SPOCK2,DST,SCEL,GENE20,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,Endothelial cell,CL:0000115,Club cells,CL:0000158,Epidermal cells,1. Epithelial cells,CL:0000362,CL:0000066,epidermal cell,epithelial cell,endothelial cell,club cell,-1,3,16,-1
1513,1513,1513,1513,1513,4,Lung,0.25,"GENE65,MS4A1,LINC00926,BLK,SP140,GENE95,CD79A,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B cell,CL:0000236,B cells,CL:0000236,B cells,2. B cells,CL:0000236,CL:0000236,b cell,b cell,b cell,b cell,0,0,0,0
1514,1514,1514,1514,1514,4,Lung,0.25,"CLDN1,S100A2,GENE51,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE77,ITGA2,KRT19",Basal,basal cell,CL:0000646,Basal cell,CL:0000646,Basal cells,CL:0000646,Epithelial cells,3. Epithelial cells,CL:0000066,CL:0000066,epithelial cell,epithelial cell,basal cell,basal cell,17,17,0,0
1515,1515,1515,1515,1515,4,Lung,0.25,"GENE82,CSF3R,S100A9,S100A8,CTSS,METTL9,CD99,VCAN,S100A12,GENE43,FCN1,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,Neutrophil,CL:0000775,Neutrophils,CL:0000775,Neutrophils,4. Myeloid cells,CL:0000775,CL:0000763,neutrophil,myeloid cell,neutrophil,neutrophil,-1,3,-1,-1
1516,1516,1516,1516,1516,4,Lung,0.25,"CD2,MALAT1,BCL11B,CD6,GENE29,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE14",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell,CL:0000084,T cells,CL:0000084,T cells,5. T cells,CL:0000084,CL:0000084,t cell,t cell,t cell,t cell,3,3,3,3
1517,1517,1517,1517,1517,4,Lung,0.25,"C20orf85,DNAH6,FAM92B,GENE10,GENE70,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,Ciliated cell,CL:0000064,Ciliated epithelial cells,CL:0000067,Cilia and flagella cells,6. Ciliated cells,CL:0000341,CL:0000064,pigment cell (sensu Nematoda and Protostomia),ciliated cell,ciliated cell,ciliated epithelial cell,-1,0,0,-1
