,Unnamed: 0.1,Unnamed: 0,dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_CLname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_CLname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_CLname,gpt-4o-mini-2024-07-18_CLID,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-2024-08-06_clid,gpt-4o-2024-08-06_clname,manual_clid,manual_clname,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4o-mini-2024-07-18_clid,gpt-4o-mini-2024-07-18_clname,gpt-4-0613_aggrement_modified,gpt-4-0613_aggrement_modified_new,gpt-4-0613_clid,gpt-4-0613_clname,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified_new,gpt-4-turbo-2024-04-09_clid,gpt-4-turbo-2024-04-09_clname
0,0,0,GOSH,neuroblastoma tissue,"LIM2   ""FGFBP2"" ""KLRF1""  ""NCR1""   ""SPON2""  ""LRRC43"" ""S1PR5""  ""SH2D1B"" ""DTHD1""  ""SLC1A7""",natural killer cell,natural killer cell,CL:0000623,t/nk cell,Neuroblast Cells,Natural Killer cells,NK cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,natural killer cell,CL:0000623,natural killer cell,CL:0000623,cell,CL:0000000,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell,5,0.1250,CL:0000623,natural killer cell,-1,0.2000,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell
1,1,1,GOSH,neuroblastoma tissue,"RP11-265P11.1 ""CTD-2215E18.1"" ""LINC01013""     ""RP11-524N5.1""  ""IGHD""          ""RP11-553K8.2""  ""RP5-887A10.1""  ""RP3-416J7.4""   ""BEST3""         ""RP11-693J15.5""",B cell,B cell,CL:0000236,B cell,Neuroblast Cells,Tumor cells,Tumor-associated macrophages,neuroblastoma cells,forebrain neuroblast,CL:1000042,neoplastic cell,CL:0001063,border associated macrophage,CL:4042003,cell,CL:0000000,-1,0.3333,CL:0000236,B cell,CL:0001063,neoplastic cell,6,0.1429,CL:0000236,B cell,-1,0.2222,CL:0000236,B cell,-1,0.1111,CL:0000236,B cell
2,2,2,GOSH,neuroblastoma tissue,"LINC00211     ""RP11-552D4.1""  ""OLIG1""         ""RP11-362F19.3"" ""CTC-490G23.2""  ""RP11-561P12.5"" ""CLEC6A""        ""PPP1R17""       ""RP11-737O24.5"" ""RP11-362F19.1""",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast Cells,Tumor cells,Non-neuronal cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neoplastic cell,CL:0001063,neuronal receptor cell,CL:0000006,cell,CL:0000000,-1,0.4000,CL:0000763,myeloid cell,CL:0001063,neoplastic cell,2,0.3333,CL:0000763,myeloid cell,-1,0.4000,CL:0000763,myeloid cell,-1,0.2000,CL:0000763,myeloid cell
3,3,3,GOSH,neuroblastoma tissue,"DBX2        ""LINC01351""   ""LRRC71""      ""ENOX1-AS1""   ""NPFF""        ""RP4-753F5.1"" ""NKX6-2""      ""TSPY2""       ""AC105402.4""  ""RP11-49P4.7""",neuroblastoma cell,neuroendocrine cell,CL:0000165,neuron,Neuroblast Cells,Neuronal precursor cells,Neuroblasts,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuronal-restricted precursor,CL:4042021,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,3,0.4000,CL:0000165,neuroendocrine cell,CL:4042021,neuronal-restricted precursor,3,0.2500,CL:0000165,neuroendocrine cell,-1,0.4286,CL:0000165,neuroendocrine cell,-1,0.3333,CL:0000165,neuroendocrine cell
4,4,4,GOSH,neuroblastoma tissue,"MDGA2         ""RALYL""         ""RP11-746B8.1""  ""CTC-575N7.1""   ""HCRTR2""        ""WNT6""          ""SST""           ""NPAS4""         ""TMEM132D""      ""RP11-446H18.6""",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblast Cells,Neuronal cells,Neuronal precursors,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuronal receptor cell,CL:0000006,neuronal-restricted precursor,CL:4042021,cell,CL:0000000,-1,0.3333,CL:0000166,neuroendocrine cell,CL:0000006,neuronal receptor cell,5,0.2000,CL:0000166,neuroendocrine cell,-1,0.4286,CL:0000166,neuroendocrine cell,-1,0.4444,CL:0000166,neuroendocrine cell
5,5,5,GOSH,neuroblastoma tissue,"KRT73-AS1    ""KRT1""         ""ST6GALNAC1""   ""ANKRD55""      ""RP11-664D1.1"" ""HBE1""         ""TSPO2""        ""GCNT4""        ""NOG""          ""REG4""",T cell,T cell,CL:0000084,t/nk cell,Neuroblast Cells,Keratinocytes,Keratinocytes,neuroblastoma cells,forebrain neuroblast,CL:1000042,keratinocyte,CL:0000312,keratinocyte,CL:0000312,cell,CL:0000000,-1,0.2222,CL:0000084,T cell,CL:0000312,keratinocyte,5,0.1667,CL:0000084,T cell,-1,0.2500,CL:0000084,T cell,-1,0.2222,CL:0000084,T cell
6,6,6,GOSH,neuroblastoma tissue,"""CCL18""         ""RP11-20G13.3""  ""RP11-489O18.1"" ""APOC4-APOC2""   ""SIGLEC8""       ""RP11-202G18.1"" ""TREM2""         ""RP3-369A17.4""  ""DNASE2B""       ""CTB-138E5.1""RSPO4          ""GABRA5""         ""RP11-91P17.1""   ""RP11-546B8.6""   ""HAPLN4""         ""AGXT""           ""RP5-968D22.1""   ""RP11-1038A11.3"" ""FEV"" ""ALX3""",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblast Cells,Macrophages,Macrophages/dendritic cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,macrophage,CL:0000235,dendritic cell,CL:0000451,cell,CL:0000000,-1,0.2222,CL:0000166,neuroendocrine cell,CL:0000235,macrophage,5,0.2000,CL:0000166,neuroendocrine cell,-1,0.4286,CL:0000166,neuroendocrine cell,-1,0.2222,CL:0000166,neuroendocrine cell
7,7,7,GOSH,neuroblastoma tissue," ""RP5-997D24.3""   ""TRAV27""         ""CCL1""           ""RP11-357H14.17"" ""UNQ6494""        ""CTD-3195I5.3""   ""AP001171.1""     ""LINC00880""      ""IL26""    ""CXCL13""   ",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast Cells,T cells,T-cell subsets,neuroblastoma cells,forebrain neuroblast,CL:1000042,t cell,CL:0000084,T cell,CL:0000084,cell,CL:0000000,-1,0.2857,CL:0000763,myeloid cell,CL:0000084,t cell,2,0.3333,CL:0000763,myeloid cell,-1,0.4000,CL:0000763,myeloid cell,-1,0.2857,CL:0000763,myeloid cell
8,8,8,GOSH,neuroblastoma tissue,"ZNF488        ""GLRA2""         ""RP11-126K15.1"" ""GRK1""          ""CTD-2659N19.2"" ""PRSS8""         ""AC097381.1""    ""GRM2""          ""AC015849.16""   ""RP4-585I14.3"" ",T cell,T cell,CL:0000084,t/nk cell,Neuroblast Cells,Neurons,Neural/glial cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuron,CL:0000540,glial cell,CL:0000125,cell,CL:0000000,-1,0.2222,CL:0000084,T cell,CL:0000540,neuron,5,0.1667,CL:0000084,T cell,-1,0.2500,CL:0000084,T cell,11,0.2500,CL:0000084,T cell
9,9,9,GOSH,neuroblastoma tissue,"ZNF488        ""GLRA2""         ""RP11-126K15.1"" ""GRK1""          ""CTD-2659N19.2"" ""PRSS8""         ""AC097381.1""    ""GRM2""          ""AC015849.16""   ""RP4-585I14.3"" ",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblast Cells,Neurons,Neural/glial cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuron,CL:0000540,glial cell,CL:0000125,cell,CL:0000000,-1,0.3750,CL:0000166,neuroendocrine cell,CL:0000540,neuron,5,0.2000,CL:0000166,neuroendocrine cell,-1,0.4286,CL:0000166,neuroendocrine cell,2,0.6667,CL:0000166,neuroendocrine cell
