,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,2500,2500,2500,2500,2500,5,Lung,1.0,"GENE39,CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cells,CL:0000236,B cells,CL:0000236,B cells,6. B cells,CL:0000236,CL:0000236,b cell,b cell,b cell,b cell,0,0,0,0,1.0000,1.0000,1.0000,1.0000
1,2501,2501,2501,2501,2501,5,Lung,1.0,"GENE67,PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,Salivary gland-like cells,CL:0009005,Secretory cells,CL:0000151,Acinar cells in the salivary gland,7. Salivary gland cells or duct epithelial cells,CL:0002623,CL:4052049,acinar cell of salivary gland,striated cell of salivary gland,salivary gland cell,secretory cell,-1,-1,-1,4,0.4000,0.3333,0.2222,0.2222
2,2502,2502,2502,2502,2502,5,Lung,1.0,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1,GENE15",non-classical monocyte,non-classical monocyte,CL:0000875,Macrophages,CL:0000235,Monocytes/Macrophages,CL:0000235,Macrophages,8. Monocytes or macrophages,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,macrophage,3,3,3,3,0.5714,0.5714,0.5714,0.5714
3,2503,2503,2503,2503,2503,5,Lung,1.0,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32,GENE17",capillary endothelial cell,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial cells,9. Endothelial cells ,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,2,2,2,2,0.6000,0.6000,0.6000,0.6000
4,2504,2504,2504,2504,2504,5,Lung,1.0,"GENE23,EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Vascular endothelial cells,10. Endothelial cells,CL:0002139,CL:0000115,endothelial cell of vascular tree,endothelial cell,endothelial cell,endothelial cell,4,4,4,4,0.4286,0.4286,0.5000,0.4286
5,2505,2505,2505,2505,2505,5,Lung,1.0,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5,GENE41",type i pneumocyte,type I pneumocyte,CL:0002062,Smooth muscle cells,CL:0000192,Epithelial cells,CL:0000066,Skin epithelial cells,11. Urothelial cells,CL:0002308,CL:0000731,epithelial cell of skin gland,urothelial cell,smooth muscle cell,epithelial cell,-1,-1,-1,3,0.2222,0.5000,0.3333,0.3750
6,2506,2506,2506,2506,2506,5,Lung,1.0,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU,GENE76",vein endothelial cell,vein endothelial cell,CL:0002543,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial cells,12. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3,0.5000,0.5000,0.5000,0.5000
7,2507,2507,2507,2507,2507,5,Lung,1.0,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS,GENE72",alveolar fibroblast,,,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblast cells,13. Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,2,2,2,2,0.6667,0.6667,0.6667,0.6667
8,2508,2508,2508,2508,2508,5,Lung,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE53",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic endothelial cells,CL:0002138,Lymphatic endothelial cells,CL:0002138,Lymphatic endothelial cells,14. Lymphatic endothelial cells,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,0,0,0,0,1.0000,1.0000,1.0000,1.0000
9,2509,2509,2509,2509,2509,5,Lung,1.0,"GENE99,MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,Smooth muscle cells,CL:0000192,Vascular smooth muscle cells,CL:0000359,Smooth muscle cells,15. Smooth muscle cells or myocytes,CL:0000192,CL:0002068,smooth muscle cell,Purkinje myocyte,smooth muscle cell,vascular associated smooth muscle cell,2,-1,2,-1,0.6667,0.5714,0.6667,0.2727
