,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
2000,2000,2000,Lung,4,1.0,"GNG11,EMCN,IL1RL1,EDNRB,RAMP2,CA4,TIMP3,SPARCL1,HPGD,CLDN5",capillary aerocyte,,,epithelial cell,10. Endothelial cells,Endothelial cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
2001,2001,2001,Lung,4,1.0,"MYRF,MS4A15,PKDCC,UPK3B,RTKN2,SCEL,ITLN2,NTM,NCKAP5,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,11. Epithelial cells,Epithelial cells,Club Cells,Clara cells,epithelial cell,CL:0000066,epithelial cell,CL:0000066,club cell,CL:0000158,club cell,CL:0000158,3,3,-1,-1
2002,2002,2002,Lung,4,1.0,"SPARCL1,VWF,LIFR,C7,TIMP3,ACKR1,RAMP3,PRSS23,CLU,IGFBP7",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,12. Endothelial cells,Endothelial cells,Endothelial Cells,Inflammatory cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,inflammatory cell,CL:0009002,3,3,3,-1
2003,2003,2003,Lung,4,1.0,"MGP,RARRES2,C1S,MFAP4,C7,FBLN1,DCN,PTGDS,LUM,ADH1B",alveolar fibroblast,,,fibroblast,13. Matrix cells,Fibroblasts,Fibroblasts and Myofibroblasts,Fibroblasts,fibroblast,CL:0000057,bone matrix secreting cell,CL:0000054,myofibroblast cell,CL:0000186,fibroblast,CL:0000057,-1,-1,-1,-1
2004,2004,2004,Lung,4,1.0,"SEMA3D,PROX1,CCL21,RELN,HOXD9,SCN3B,FOXC2,MMRN1,GPR182,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,14. Lymphatic endothelial cells,Lymphatic endothelial cells,Lymphatic Endothelial Cells,Neuroendocrine cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,neuroendocrine cell,CL:0000165,0,0,0,-1
2005,2005,2005,Lung,4,1.0,"DES,CARMN,PLN,LMOD1,PLAC9,CNN1,CRYAB,PPP1R14A,ACTG2,MYH11",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,15. Smooth muscle cells,Smooth muscle cells,Smooth Muscle Cells,Cardiomyocytes,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,fetal cardiomyocyte,CL:0002495,2,2,2,-1
2006,2006,2006,Lung,4,1.0,"SPIB,FAM129C,LILRA4,AL357143.1,CLEC4C,AL139020.1,MZB1,PLD4,LAMP5,SCT",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,16. Plasmacytoid dendritic cells,Plasmacytoid Dendritic Cells,Plasmacytoid Dendritic Cells,Immune cells,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,CL:0000784,leukocyte,CL:0000738,0,0,0,3
2007,2007,2007,Lung,4,1.0,"NEDD4L,CEACAM6,SCGB3A2,PIGR,SFTPB,CYP2B7P,ELF3,FOLR1,GPRC5A,WFDC2",club cell,club cell,CL:0000158,epithelial cell,17. Intestinal epithelial cells,Club cells,Club Cells,Alveolar epithelial cells,club cell,CL:0000158,intestinal epithelial cell,CL:0002563,club cell,CL:0000158,pulmonary alveolar epithelial cell,CL:0000322,0,-1,0,-1
2008,2008,2008,Lung,4,1.0,"PLVAP,LIFR,CLU,C7,ACKR1,SPARCL1,VWF,NPDC1,IGFBP7,CLDN5",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,18. Endothelial cells ,Endothelial cells,Endothelial Cells,Smooth muscle cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,smooth muscle cell,CL:0000192,3,3,3,-1
2009,2009,2009,Lung,4,1.0,"PRELP,C2orf40,COX4I2,PDGFRB,GJA4,PPP1R14A,LMOD1,MYH11,CCN5,BGN",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,19. Smooth muscle cells,Smooth muscle cells,Pericytes,Mesenchymal cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,pericyte,CL:0000669,mesenchymal cell,CL:0008019,1,1,-1,9
2010,2010,2010,Lung,4,1.0,"PLPPR4,MKRN9P,RSPO1,FABP7,GPR1,LRRC38,AC005821.1,KCTD8,LINC01902,SYT4",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,20. Neural cells,Neurons,Club cells,Alveolar Type II cells,neuron,CL:0000540,neural cell,CL:0002319,club cell,CL:0000158,pulmonary alveolar type 2 cell,CL:0002063,9,9,-1,-1
2011,2011,2011,Lung,4,1.0,"TPM2,RGN,HIGD1B,COX4I2,BGN,NDUFA4L2,INMT,KCNK3,PDGFRB,PPP1R14A",pericyte cell,pericyte,CL:0000669,pericyte,21. Endothelial cells,Smooth muscle cells,Pulmonary endothelial cells,Fibroblasts,smooth muscle cell,CL:0000192,endothelial cell,CL:0000115,pulmonary artery endothelial cell,CL:1001568,fibroblast,CL:0000057,-1,8,-1,10
2012,2012,2012,Lung,4,1.0,"SYT4,BNC1,VIPR2,PRG4,HAS1,BCHE,ROR2,CPB1,RSPO1,ITLN1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,22. Synovial cells,Hepatic stellate cells,Goblet cells,Neurons,hepatic stellate cell,CL:0000632,synovial cell,CL:0000214,goblet cell,CL:0000160,neuron,CL:0000540,-1,-1,-1,10
2013,2013,2013,Lung,4,1.0,"CACNA1C,AC009269.2,SGIP1,AL135910.1,TARID,COL1A2,ABCA6,SCN7A,BMP5,CARMN",fibroblast,fibroblast,CL:0000057,fibroblast,23. Myocytes,Cardiomyocytes,Pulmonary neurons,Skeletal Muscle cells,fetal cardiomyocyte,CL:0002495,muscle cell,CL:0000187,pulmonary ionocyte,CL:0017000,cell of skeletal muscle,CL:0000188,-1,24,-1,-1
2014,2014,2014,Lung,4,1.0,"AIF1,LILRB2,LILRA1,CD300E,VCAN,RNASE2,CORO1A,FGL2,MPEG1,FCN1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,24. Myoepithelial cells,Monocytes,Alveolar macrophages,Macrophages,monocyte,CL:0000576,myoepithelial cell,CL:0000185,alveolar macrophage,CL:0000583,macrophage,CL:0000235,1,-1,-1,3
2015,2015,2015,Lung,4,1.0,"CLCNKB,PROX1,TMPRSS11E,LINC01187,ASCL3,CLNK,DGKI,CEL,ATP6V1G3,HEPACAM2",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,25. Macrophages,Salivary gland cells.,Clara cells,Epithelial cells,salivary gland glandular cell,CL:1001596,macrophage,CL:0000235,club cell,CL:0000158,epithelial cell,CL:0000066,-1,-1,-1,2
2016,2016,2016,Lung,5,0.25,"SCEL,AGER",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar epithelial cells,Type II Pneumocyte,Type I alveolar cells,Immune cells,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 1 cell,CL:0002062,leukocyte,CL:0000738,-1,1,0,-1
2017,2017,2017,Lung,5,0.25,"CD79A,LINC00926",B,B cell,CL:0000236,b cell,B cells,B Cell,B cells,Endothelial cells,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,endothelial cell,CL:0000115,0,0,0,-1
2018,2018,2018,Lung,5,0.25,"ITGA2,PERP",Basal,basal cell,CL:0000646,stem cell,Epithelial cells,Platelets,Myofibroblasts,Stem cells,platelet,CL:0000233,epithelial cell,CL:0000066,myofibroblast cell,CL:0000186,stem cell,CL:0000034,-1,17,-1,4
2019,2019,2019,Lung,5,0.25,"CD300E,S100A9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Myeloid cells,Myeloid Cells,Neutrophils,Secretory cells,myeloid cell,CL:0000763,myeloid cell,CL:0000763,neutrophil,CL:0000775,secretory cell,CL:0000151,3,3,-1,-1
2020,2020,2020,Lung,5,0.25,"LEF1,CD2",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T Cell,T cells,T cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,3,3,3,3
2021,2021,2021,Lung,5,0.25,"FANK1,FAM92B",Ciliated,ciliated cell,CL:0000064,ciliated cell,Unknown (no clear cell type association with these markers),Hepatocyte,Epithelial cells,Epithelial cells,hepatocyte,CL:0000182,clear chief cell of parathyroid gland,CL:0002147,epithelial cell,CL:0000066,epithelial cell,CL:0000066,-1,-1,13,13
2022,2022,2022,Lung,5,0.25,"HLA-DPB1,GPR183",Dendritic,dendritic cell,CL:0000451,dendritic cell,Follicular B cells,B Cell,Dendritic cells,Dendritic cells,b cell,CL:0000236,follicular b cell,CL:0000843,dendritic cell,CL:0000451,dendritic cell,CL:0000451,-1,-1,0,0
2023,2023,2023,Lung,5,0.25,"SLIT2,DCN",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblasts,Fibroblast,Fibroblasts,Extracellular matrix cells,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,extracellular matrix secreting cell,CL:0000327,0,0,0,-1
