,tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation
2500,Lung,5,1.0,"GENE39,CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cell
2501,Lung,5,1.0,"GENE67,PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell
2502,Lung,5,1.0,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1,GENE15",non-classical monocyte,non-classical monocyte,CL:0000875,nonclassical monocyte
2503,Lung,5,1.0,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32,GENE17",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell
2504,Lung,5,1.0,"GENE23,EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,endothelial cell
2505,Lung,5,1.0,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5,GENE41",type i pneumocyte,type I pneumocyte,CL:0002062,Clara_cells
2506,Lung,5,1.0,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU,GENE76",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
2507,Lung,5,1.0,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS,GENE72",alveolar fibroblast,,,fibroblast
2508,Lung,5,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE53",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
2509,Lung,5,1.0,"GENE99,MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell
2510,Lung,5,1.0,"AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1,GENE54",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,nonclassical monocyte
2511,Lung,5,1.0,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB,GENE69",club cell,club cell,CL:0000158,club cell
2512,Lung,5,1.0,"GENE96,ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell
2513,Lung,5,1.0,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4,GENE10",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,endothelial cell
2514,Lung,5,1.0,"GENE99,AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,Clara cells
2515,Lung,5,1.0,"GENE75,COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2",pericyte cell,pericyte,CL:0000669,endothelial cell of artery
2516,Lung,5,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE39",mesothelial cell,mesothelial cell,CL:0000077,goblet cell
2517,Lung,5,1.0,"AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID,GENE74",fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
2518,Lung,5,1.0,"GENE71,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage
2519,Lung,5,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE1",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell
