,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
1000,1000,1000,1000,Lung,2,1.0,"SPARCL1,C7,IGFBP7,LIFR,PLVAP,ACKR1,VWF,NPDC1,CLDN5,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,Bronchial Vessel 1,"Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte, Vein, Alveolar Fibroblast, Lipofibroblast, Signaling Alveolar Epithelial Type 2, Artery, Vein, Capillary, Ciliated, Proximal Ciliated, Basal, Alveolar Epithelial Type 1, Vein, Bronchial Vessel 1, Lymphatic, Airway Smooth Muscle, Vascular Smooth Muscle, Natural Killer, Proliferating NK/T",Bronchial Vessel 1,Bronchial Vessel 1
1001,1001,1001,1001,Lung,2,1.0,"COX4I2,MYH11,CCN5,PDGFRB,PPP1R14A,LMOD1,PRELP,BGN,GJA4,C2orf40",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Pericyte,"Vascular Smooth Muscle, Pericyte, Vein, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, Pericyte, Artery, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte, B, Platelet/Megakaryocyte, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2",Pericyte,Vascular Smooth Muscle
1002,1002,1002,1002,Lung,2,1.0,"LINC01902,AC005821.1,GPR1,LRRC38,RSPO1,MKRN9P,FABP7,PLPPR4,KCTD8,SYT4",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Alveolar Fibroblast,Alveolar Fibroblast,Alveolar Fibroblast,Alveolar Fibroblast
1003,1003,1003,1003,Lung,2,1.0,"KCNK3,PDGFRB,RGN,PPP1R14A,BGN,TPM2,HIGD1B,INMT,COX4I2,NDUFA4L2",pericyte cell,pericyte,CL:0000669,pericyte,Pericyte,"Neuroendocrine, Pericyte, Pericyte, Artery, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte, B, Platelet/Megakaryocyte, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2,Vascular Smooth Muscle, Myofibroblast, Pericyte",Pericyte,Pericyte
1004,1004,1004,1004,Lung,2,1.0,"ITLN1,ROR2,RSPO1,PRG4,VIPR2,CPB1,BNC1,SYT4,HAS1,BCHE",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Mesothelial,"Goblet, Mesothelial, Alveolar Fibroblast, Alveolar Fibroblast, Mesothelial, Plasmacytoid Dendritic",Mesothelial,Goblet
1005,1005,1005,1005,Lung,2,1.0,"SGIP1,SCN7A,COL1A2,BMP5,CARMN,AL135910.1,TARID,ABCA6,CACNA1C,AC009269.2",fibroblast,fibroblast,CL:0000057,fibroblast,Alveolar Fibroblast,"Pericyte, Neuroendocrine, Adventitial Fibroblast, Alveolar Fibroblast, Myofibroblast, Adventitial Fibroblast, Lipofibroblast",Alveolar Fibroblast,Alveolar Fibroblast
1006,1006,1006,1006,Lung,2,1.0,"VCAN,AIF1,FCN1,RNASE2,LILRA1,MPEG1,LILRB2,FGL2,CD300E,CORO1A",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,Classical Monocyte,"Proximal Ciliated, Neuroendocrine, Myofibroblast, Fibromyocyte, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte, Macrophage, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte",Nonclassical Monocyte,Macrophage
1007,1007,1007,1007,Lung,2,1.0,"CEL,LINC01187,HEPACAM2,ASCL3,CLNK,PROX1,DGKI,ATP6V1G3,TMPRSS11E,CLCNKB",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Ionocyte,"Ionocyte, Ionocyte, Ionocyte, Ionocyte",Ionocyte,Ionocyte
1008,1008,1008,1008,Lung,3,0.25,"EMP2,RTKN2",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Alveolar Fibroblast, Platelet/Megakaryocyte, IGSF21+ Dendritic, Alveolar Epithelial Type 1",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
1009,1009,1009,1009,Lung,3,0.25,"VPREB3,BANK1",B,B cell,CL:0000236,b cell,B,"B, B, Platelet/Megakaryocyte",B,B
1010,1010,1010,1010,Lung,3,0.25,"CLDN1,DST",Basal,basal cell,CL:0000646,stem cell,Basal,"Basal, Alveolar Fibroblast, Macrophage",Basal,Ciliated
1011,1011,1011,1011,Lung,3,0.25,"VCAN,S100A9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Classical Monocyte,"Neuroendocrine, Basal, Classical Monocyte",Classical Monocyte,"Proliferating Macrophage, Alveolar Fibroblast, Classical Monocyte"
1012,1012,1012,1012,Lung,3,0.25,"LEF1,CD6",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,"CD4+ Memory/Effector T, CD4+ Naive T","CD4+ Naive T, CD8+ Memory/Effector T",CD4+ Memory/Effector T,"CD4+ Memory/Effector T, CD4+ Naive T"
1013,1013,1013,1013,Lung,3,0.25,"RSPH1,CAPS",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated,"Ciliated, Platelet/Megakaryocyte",Ciliated,"Ciliated, Platelet/Megakaryocyte"
