,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
0,0,0,0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,"Alveolar Epithelial Type 1, Capillary Aerocyte","Alveolar Epithelial Type 1, Capillary Aerocyte, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
1,1,1,1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,b cell,B,B,B,B
2,2,2,2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,stem cell,"Basal, Proximal Basal, Differentiating Basal","Basal, Proximal Basal, Differentiating Basal",Basal,Basal
3,3,3,3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,"Classical Monocyte, OLR1+ Classical Monocyte","Classical Monocyte, OLR1+ Classical Monocyte",Classical Monocyte,Classical Monocyte
4,4,4,4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T","CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T",CD4+ Memory/Effector T,T
5,5,5,5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,ciliated cell,"Ciliated, Proximal Ciliated","Ciliated, Proximal Ciliated",Ciliated,Ciliated
6,6,6,6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic","Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic",Dendritic,Myeloid Dendritic Type 1
7,7,7,7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast, Macrophage, Proliferating Macrophage","Adventitial Fibroblast, Alveolar Fibroblast, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Adventitial Fibroblast,Alveolar Fibroblast
8,8,8,8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,immune cell,Lymphatic,"Proximal Ciliated, Goblet, Mucous, Ionocyte, Neuroendocrine, Lymphatic",Lymphatic,Goblet
9,9,9,9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage/monocyte,"Macrophage, Proliferating Macrophage, Mesothelial","Macrophage, Proliferating Macrophage, Mesothelial, Macrophage, Proliferating Macrophage, TREM2+ Dendritic",Macrophage,Macrophage
