,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new,RAG_clid,RAG_clname,manual_clid,manual_clname
0,1500,Lung,3,1.0,"SCN3B,PROX1,STAB2,FOXC2,SEMA3D,HOXD9,CCL21,RELN,GPR182,MMRN1",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell,0,1.0000,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel
1,1501,Lung,3,1.0,"DES,CARMN,CNN1,PPP1R14A,ACTG2,PLN,PLAC9,MYH11,LMOD1,CRYAB",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell,2,0.6667,CL:0002598,bronchial smooth muscle cell,CL:0000192,smooth muscle cell
2,1502,Lung,3,1.0,"AL139020.1,SCT,PLD4,LAMP5,AL357143.1,MZB1,FAM129C,CLEC4C,SPIB,LILRA4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,myeloid dendritic cell,-1,0.6250,CL:0000784,plasmacytoid dendritic cell,CL:0000782,myeloid dendritic cell
3,1503,Lung,3,1.0,"CEACAM6,PIGR,CYP2B7P,GPRC5A,WFDC2,SFTPB,SCGB3A2,ELF3,NEDD4L,FOLR1",club cell,club cell,CL:0000158,"pulmonary alveolar type 2 cell, club cell",-1,0.5455,CL:0000158,club cell,CL:0002063,pulmonary alveolar type 2 cell
4,1504,Lung,3,1.0,"CLDN5,LIFR,NPDC1,C7,ACKR1,CLU,PLVAP,SPARCL1,VWF,IGFBP7",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,3,0.5000,CL:2000016,lung microvascular endothelial cell,CL:0000115,endothelial cell
5,1505,Lung,3,1.0,"PPP1R14A,BGN,PDGFRB,MYH11,GJA4,COX4I2,CCN5,LMOD1,PRELP,C2orf40",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,endothelial cell of artery,-1,0.2500,CL:0000359,vascular associated smooth muscle cell,CL:1000413,endothelial cell of artery
6,1506,Lung,3,1.0,"PLPPR4,SYT4,LRRC38,MKRN9P,LINC01902,RSPO1,FABP7,KCTD8,AC005821.1,GPR1",myofibroblast cell,myofibroblast cell,CL:0000186,cell_type_name,"{'CL:0000186': 0, 'CL:0000183': 1, 'CL:0002320': 1, 'CL:0000000': 2, 'CL:0000255': 2, 'UBERON:0002384': 2, 'UBERON:0000061': 3, 'GO:0005634': 3, 'NCBITaxon:131567': 3, 'NCBITaxon:2759': 3, 'UBERON:0000479': 3, 'NCBITaxon:6072': 3, 'BFO:0000004': 4, 'UBERON:0000465': 4, 'UBERON:0000106': 4, 'UBERON:0000071': 4, 'GO:0043231': 4, 'NCBITaxon:1': 4, 'UBERON:0010000': 4, 'GO:0031012': 4, 'UBERON:0000468': 4, 'NCBITaxon:33208': 4, 'BFO:0000040': 5, 'UBERON:0001062': 5, 'BFO:0000003': 5, 'UBERON:0000105': 5, 'UBERON:0000068': 5, 'UBERON:0000104': 5, 'GO:0043227': 5, 'GO:0043229': 5, 'PATO:0001993': 5, 'GO:0030312': 5, 'NCBITaxon:33154': 5, 'UBERON:0003942': 6, 'UBERON:0000000': 6, 'UBERON:0000066': 6, 'UBERON:0000092': 6, 'GO:0009790': 6, 'GO:0043226': 6, 'GO:0016020': 6, 'GO:0005622': 6, 'PATO:0001992': 6, 'GO:0110165': 6, 'GO:0071944': 6, 'UBERON:0001032': 7, 'GO:0019233': 7, 'GO:0050975': 7, 'UBERON:0000111': 7, 'GO:0009791': 7, 'GO:0007275': 7, 'UBERON:0000922': 7, 'PATO:0001995': 7, 'CARO:0000000': 7, 'GO:0005575': 7, 'UBERON:0015203': 8, 'GO:0007600': 8, 'UBERON:0001016': 8, 'UBERON:0004456': 8, 'GO:0050954': 8, 'UBERON:0000110': 8, 'GO:0048513': 8, 'GO:0032501': 8, 'GO:0048856': 8, 'PATO:0001241': 8, 'UBERON:0034923': 9, 'GO:0050877': 9, 'BFO:0000002': 9, 'UBERON:0000467': 9, 'CL:0000540': 9, 'CL:0002319': 9, 'UBERON:0016880': 9, 'UBERON:0000109': 9, 'GO:0001841': 9, 'GO:0008150': 9, 'GO:0032502': 9, 'PATO:0000001': 9, 'PATO:0010001': 10, 'GO:0003008': 10, 'UBERON:0000062': 10, 'CL:0000393': 10, 'CL:0000404': 10, 'GO:0019226': 10, 'CL:0000031': 10, 'UBERON:0006598': 10, 'UBERON:0000108': 10, 'GO:0007369': 10, 'GO:0001838': 10, 'GO:0021915': 10, 'UBERON:0001049': 10, 'BFO:0000015': 10, 'BFO:0000020': 10, 'PATO:0000141': 11, 'UBERON:0006984': 11, 'CL:0000211': 11, 'GO:0001508': 11, 'GO:0007268': 11, 'GO:0007154': 11, 'CL:0000055': 11, 'NCBITaxon:7742': 11, 'UBERON:0002050': 11, 'UBERON:0000107': 11, 'GO:0048598': 11, 'GO:0001705': 11, 'GO:0001706': 11, 'GO:0001707': 11, 'GO:0072175': 11, 'GO:0016331': 11, 'GO:0035295': 11, 'GO:0060429': 11, 'GO:0007399': 11, 'GO:0043009': 11, 'UBERON:0003914': 11, 'UBERON:0005291': 11, 'UBERON:0010371': 11, 'UBERON:0016879': 11, 'UBERON:0005068': 11, 'PATO:0000051': 12, 'UBERON:0010199': 12, 'GO:0042391': 12, 'GO:0098916': 12, 'GO:0045202': 12, 'GO:0009987': 12, 'CL:0011115': 12, 'NCBITaxon:89593': 12, 'UBERON:0005423': 12, 'GO:0040016': 12, 'GO:0009653': 12, 'GO:0001704': 12, 'GO:0007398': 12, 'UBERON:0000924': 12, 'GO:0007492': 12, 'UBERON:0000925': 12, 'GO:0048332': 12, 'UBERON:0000926': 12, 'GO:0035148': 12, 'GO:0060562': 12, 'GO:0002009': 12, 'UBERON:0000025': 12, 'GO:0009888': 12, 'UBERON:0000483': 12, 'GO:0048731': 12, 'GO:0009792': 12, 'NCBITaxon:7711': 12, 'UBERON:0004121': 12, 'CL:0002077': 12, 'UBERON:0002346': 12, 'UBERON:0001017': 12, 'UBERON:0007135': 12, 'UBERON:0000466': 13, 'GO:0034220': 13, 'GO:0099537': 13, 'GO:0098794': 13, 'GO:0098793': 13, 'GO:0030054': 13, 'GO:0030154': 13, 'GO:0051301': 13, 'GO:0048646': 13, 'UBERON:0000923': 13, 'CL:0000221': 13, 'UBERON:0006601': 13, 'CL:0000223': 13, 'UBERON:0006595': 13, 'GO:0048729': 13, 'GO:0007498': 13, 'CL:0000222': 13, 'UBERON:0006603': 13, 'GO:0035239': 13, 'UBERON:0004111': 13, 'UBERON:0013522': 13, 'PATO:0002299': 13, 'PR:000050567': 13, 'GO:0005911': 13, 'UBERON:0005769': 13, 'CL:0000066': 13, 'NCBITaxon:33511': 13, 'CL:0000133': 13, 'UBERON:0011216': 13, 'NCBITaxon:33213': 13, 'UBERON:0003075': 13, 'BFO:0000141': 14, 'GO:0006811': 14, 'GO:0055085': 14, 'GO:0099536': 14, 'GO:0048869': 14, 'UBERON:0010316': 14, 'CL:0002321': 14, 'UBERON:0000307': 14, 'UBERON:0013686': 14, 'UBERON:0000464': 14, 'UBERON:0000064': 14, 'UBERON:0000060': 14, 'PATO:0001873': 14, 'PATO:0002078': 14, 'PR:000000001': 14, 'GO:0070161': 14, 'UBERON:0005764': 14, 'GO:0005587': 14, 'GO:0005604': 14, 'UBERON:0002328': 14, 'UBERON:0007284': 14, 'GO:0006810': 15, 'CHEBI:24867': 15, 'GO:0007267': 15, 'UBERON:0002532': 15, 'UBERON:0007010': 15, 'UBERON:0002553': 15, 'UBERON:0004923': 15, 'PATO:0002007': 15, 'PATO:0000411': 15, 'PATO:0002014': 15, 'PR:000018263': 15, 'GO:0006412': 15, 'UBERON:0000476': 15, 'GO:0098642': 15, 'GO:0098651': 15, 'GO:0062023': 15, 'UBERON:0000481': 15, 'UBERON:0004120': 15, 'UBERON:0001555': 15, 'UBERON:0011137': 15, 'PR:000014841': 15, 'UBERON:0004880': 15, 'UBERON:0006267': 15, 'UBERON:0004734': 15, 'GO:0051234': 16, 'GO:0023052': 16, 'CL:0000352': 16, 'UBERON:0000463': 16, 'PATO:0002266': 16, 'PATO:0002006': 16, 'PATO:0000947': 16, 'CHEBI:50047': 16, 'CHEBI:33708': 16, 'GO:0009059': 16, 'GO:0019538': 16, 'GO:0006415': 16, 'GO:0006414': 16, 'CHEBI:36080': 16, 'GO:0010467': 16, 'GO:0006413': 16, 'GO:0005581': 16, 'GO:0098645': 16, 'UBERON:0001007': 16, 'UBERON:0000165': 16, 'UBERON:0007026': 16, 'UBERON:0000075': 16, 'UBERON:0000982': 16, 'UBERON:0003068': 16, 'UBERON:0000490': 16, 'UBERON:0006268': 16, 'GO:0051179': 17, 'GO:0050789': 17, 'CL:0000052': 17, 'PATO:0002198': 17, 'PATO:0000052': 17, 'PATO:0002318': 17, 'GO:0043170': 17, 'GO:0044249': 17, 'CHEBI:33694': 17, 'GO:0044238': 17, 'GO:0032984': 17, 'GO:0044237': 17, 'GO:0001677': 17, 'GO:0032991': 17, 'GO:0098644': 17, 'GO:0099081': 17, 'GO:0022600': 17, 'UBERON:0004921': 17, 'UBERON:0035804': 17, 'UBERON:0001434': 17, 'UBERON:0004765': 17, 'UBERON:0004905': 17, 'GO:0065007': 18, 'CL:0000723': 18, 'PATO:0001018': 18, 'GO:0008152': 18, 'GO:0009058': 18, 'GO:0022411': 18, 'GO:0043933': 18, 'GO:0022618': 18, 'GO:0044207': 18, 'GO:0099080': 18, 'PATO:0015006': 18, 'GO:0007586': 18, 'UBERON:0000930': 18, 'UBERON:0004288': 18, 'UBERON:0004770': 18, 'UBERON:0002204': 18, 'UBERON:0034921': 18, 'CL:0000034': 19, 'GO:0048103': 19, 'GO:0016043': 19, 'GO:0065003': 19, 'GO:0071826': 19, 'GO:0022613': 19, 'GO:1990904': 19, 'GO:0005737': 19, 'UBERON:0034925': 19, 'GO:0040011': 19, 'UBERON:0000383': 19, 'GO:0017145': 20, 'GO:0071840': 20, 'GO:0022607': 20, 'GO:0044085': 20, 'CHEBI:33697': 20, 'GO:0003012': 20, 'UBERON:0001015': 20, 'UBERON:0001630': 21, 'UBERON:0005090': 22, 'UBERON:0002385': 22, 'CL:0000187': 23, 'GO:0006936': 23, 'CL:0000056': 24, 'CL:0000680': 25}",-1,CL:0000186,myofibroblast cell,,
7,1507,Lung,3,1.0,"RGN,INMT,HIGD1B,KCNK3,COX4I2,BGN,NDUFA4L2,PDGFRB,PPP1R14A,TPM2",pericyte cell,pericyte,CL:0000669,fibroblast,10,0.6000,CL:0000669,pericyte,CL:0000057,fibroblast
8,1508,Lung,3,1.0,"VIPR2,CPB1,BCHE,PRG4,RSPO1,HAS1,BNC1,ITLN1,SYT4,ROR2",mesothelial cell,mesothelial cell,CL:0000077,basophil,-1,0.2222,CL:0000077,mesothelial cell,CL:0000767,basophil
9,1509,Lung,3,1.0,"ABCA6,COL1A2,TARID,AC009269.2,SGIP1,CARMN,SCN7A,AL135910.1,BMP5,CACNA1C",fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell,-1,0.3333,CL:0000057,fibroblast,CL:0002063,pulmonary alveolar type 2 cell
