,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,500,500,500,Lung,1,1.0,"VIPR2,RSPO1,BNC1,HAS1,BCHE,SYT4,PRG4,ROR2,ITLN1,CPB1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,22. Enterochromaffin cells,Synovial Cells,Neuroendocrine cells,Lung neuroendocrine cells,synovial cell,CL:0000214,enterochromaffin-like cell,CL:0000504,neuroendocrine cell,CL:0000165,lung neuroendocrine cell,CL:1000223,-1,-1,-1,-1,0.3750,0.4286,0.6667,0.3750
1,501,501,501,Lung,1,1.0,"CARMN,TARID,SCN7A,AL135910.1,SGIP1,COL1A2,BMP5,ABCA6,AC009269.2,CACNA1C",fibroblast,fibroblast,CL:0000057,fibroblast,23. Fibroblasts,Cardiomyocytes,Fibroblasts,"Endothelial cells, Fibroblasts, Smooth muscle cells",fetal cardiomyocyte,CL:0002495,fibroblast,CL:0000057,fibroblast,CL:0000057,smooth muscle cell,CL:0000192,-1,0,0,-1,1.0000,0.2857,0.2857,1.0000
2,502,502,502,Lung,1,1.0,"VCAN,MPEG1,AIF1,RNASE2,LILRB2,FGL2,LILRA1,CORO1A,FCN1,CD300E",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,24. Macrophages/monocytes,Dendritic Cells,Macrophages,"Macrophages, Dendritic cells",dendritic cell,CL:0000451,monocyte,CL:0000576,macrophage,CL:0000235,dendritic cell,CL:0000451,4,1,3,4,0.5714,0.5714,0.5714,0.8000
3,503,503,503,Lung,1,1.0,"PROX1,ASCL3,CEL,DGKI,HEPACAM2,CLNK,TMPRSS11E,LINC01187,CLCNKB,ATP6V1G3",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,25. Lymphatic endothelial cells,Salivary Gland Cells,Goblet cells,"Pulmonary neuroepithelial bodies, Bronchial epithelial cells",salivary gland cell,CL:0009005,endothelial cell of lymphatic vessel,CL:0002138,goblet cell,CL:0000160,bronchial epithelial cell,CL:0002328,-1,-1,-1,-1,0.5000,0.6000,0.3333,0.2500
4,504,504,504,Lung,2,0.25,"LMO7,ARHGEF26",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Ependymal cells,Fibroblasts,Epithelial cells,Fibroblasts,fibroblast,CL:0000057,ependymal cell,CL:0000065,epithelial cell,CL:0000066,fibroblast,CL:0000057,9,-1,3,9,0.5000,0.2500,0.2500,0.3750
5,505,505,505,Lung,2,0.25,"VPREB3,CD22",B,B cell,CL:0000236,b cell,B cells,B Cells,B cells,B cells,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,0,0,0,0,1.0000,1.0000,1.0000,1.0000
6,506,506,506,Lung,2,0.25,"KRT15,PERP",Basal,basal cell,CL:0000646,stem cell,Epithelial cells,Epidermal Stem Cells,Basal cells,"Basal cells, Keratinocytes",stem cell of epidermis,CL:1000428,epithelial cell,CL:0000066,basal cell,CL:0000646,keratinocyte,CL:0000312,-1,17,0,-1,1.0000,0.2500,0.5000,0.3333
7,507,507,507,Lung,2,0.25,"CD300E,FCN1",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Monocytes,Monocytes,Monocytes,Macrophages,monocyte,CL:0000576,monocyte,CL:0000576,monocyte,CL:0000576,macrophage,CL:0000235,1,1,1,3,0.8000,0.5714,0.8000,0.8000
8,508,508,508,Lung,2,0.25,"CAMK4,MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T Lymphocytes,T cells,"T lymphocytes, Mucosal-associated invariant T cells",T cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,mucosal invariant T cell,CL:0000940,3,3,3,-1,0.6667,0.8000,0.6667,0.6667
9,509,509,509,Lung,2,0.25,"C20orf85,FANK1",Ciliated,ciliated cell,CL:0000064,ciliated cell,Unknown,Oocytes,Epithelial cells,Mesothelial cells,oocyte,CL:0000023,cyanophore,CL:0000747,epithelial cell,CL:0000066,mesothelial cell,CL:0000077,-1,-1,13,-1,0.5000,0.3333,0.4000,0.5000
10,510,510,510,Lung,2,0.25,"FCGR2B,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,B cells,B Cells,Antigen Presenting Cells,B cells,b cell,CL:0000236,b cell,CL:0000236,professional antigen presenting cell,CL:0000145,b cell,CL:0000236,-1,-1,1,-1,0.8000,0.4444,0.4444,0.4444
11,511,511,511,Lung,2,0.25,"FBLN1,ABLIM1",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblasts,Fibroblasts,Fibroblasts,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,0,0,0,0,1.0000,1.0000,1.0000,1.0000
12,512,512,512,Lung,2,0.25,"IGFBP7,PROX1",Lymphatic,,,immune cell,Lymphatic endothelial cells,Liver Endothelial Cells,Lymphatic Endothelial Cells,Endothelial cells,endothelial cell of central vein of liver,CL:4033061,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,CL:0000115,-1,-1,-1,8,0.2500,0.3333,0.2000,0.2500
13,513,513,513,Lung,2,0.25,"ACP5,SLCO2B1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Osteoclasts,Osteoclasts,Osteoclasts,Macrophages,osteoclast,CL:0000092,osteoclast,CL:0000092,osteoclast,CL:0000092,macrophage,CL:0000235,3,3,3,0,0.6667,1.0000,0.6667,0.6667
14,514,514,514,Lung,2,0.25,"KLRF1,PRF1",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer cells,NK Cells,Natural Killer Cells,Natural Killer cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0,1.0000,1.0000,1.0000,1.0000
15,515,515,515,Lung,2,0.25,"XBP1,POU2AF1",Plasma,plasma cell,CL:0000786,b cell,B cells,Plasma Cells,Plasmablasts,B cells,plasma cell,CL:0000786,b cell,CL:0000236,plasmablast,CL:0000980,b cell,CL:0000236,0,4,1,4,0.7778,0.6667,1.0000,0.6667
16,516,516,516,Lung,2,0.25,"ABCA3,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar type II cells,Alveolar Type II Cells,Alveolar Epithelial Cells Type II,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,fetal pre-type II pulmonary alveolar epithelial cell,CL:4040003,pulmonary alveolar type 2 cell,CL:0002063,0,0,1,0,0.7143,1.0000,1.0000,1.0000
17,517,517,517,Lung,2,0.25,"KIT,TPSAB1",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast cells,Mast Cells,Mast Cells,Mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,-1,-1,-1,-1,-1,-1,-1
18,518,518,518,Lung,2,0.25,"FCN1,LST1",CD16+ Monocyte,,,macrophage/monocyte,Monocytes,Monocytes,Macrophages,Dendritic cells,monocyte,CL:0000576,monocyte,CL:0000576,macrophage,CL:0000235,dendritic cell,CL:0000451,2,2,4,5,0.5000,0.5000,0.6667,0.6667
19,519,519,519,Lung,2,0.25,"FLNB,PODXL",Capillary,,,blood vessel cell,Mesenchymal Stem Cells,Podocytes,Mesenchymal Cells,Epithelial cells,podocyte,CL:0000653,mesenchymal stem cell,CL:0000134,mesenchymal cell,CL:0008019,epithelial cell,CL:0000066,-1,5,7,6,-1,-1,-1,-1
20,520,520,520,Lung,2,0.25,"CD8A,RPL34",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,Cytotoxic T cells,Effector T Cells,Cytotoxic T cells,CD8+ T cells,effector t cell,CL:0000911,cytotoxic t cell,CL:0000910,cytotoxic t cell,CL:0000910,"CD8-positive, alpha-beta T cell",CL:0000625,-1,-1,-1,0,0.6364,1.0000,0.7000,0.6364
21,521,521,521,Lung,2,0.25,"KIAA1324,SFTPB",Club,club cell,CL:0000158,epithelial cell,Alveolar type II cells,Alveolar Type II Cells,Alveolar type II cells,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,-1,-1,-1,-1,0.5455,0.5455,0.5455,0.5455
22,522,522,522,Lung,2,0.25,"LTBP1,POSTN",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,Fibroblasts,Fibroblasts,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1,0.6000,0.6000,0.6000,0.6000
23,523,523,523,Lung,2,0.25,"IRF7,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Dendritic cells,Plasmacytoid Dendritic Cells,Dendritic cells,Dendritic cells,plasmacytoid dendritic cell,CL:0000784,dendritic cell,CL:0000451,dendritic cell,CL:0000451,dendritic cell,CL:0000451,0,1,1,1,0.8333,0.8333,1.0000,0.8333
24,524,524,524,Lung,2,0.25,"H2AFZ,TYMS",Proliferating Macrophage,,,macrophage/monocyte,"Proliferating cells (e.g., cancer cells)",Proliferating Cells,Proliferating cells,Proliferating epithelial cells,cycling B cell,CL:4033068,multinucleate cell,CL:0000228,cycling B cell,CL:4033068,epithelial cell,CL:0000066,-1,-1,-1,12,0.3636,0.3333,0.3636,0.2222
25,525,525,525,Lung,2,0.25,"BIRC5,SMC4",Proliferating NK/T,,,t/nk cell,"Proliferating cells (e.g., cancer cells)",Cancer Cells,Proliferating cells,Proliferating tumor cells,malignant cell,CL:0001064,multinucleate cell,CL:0000228,cycling B cell,CL:4033068,cycling B cell,CL:4033068,-1,-1,-1,-1,0.4167,0.4167,0.0833,0.1538
26,526,526,526,Lung,2,0.25,"SPRY1,ENPP2",Bronchial Vessel,,,bronchial cell,Fibroblasts or preadipocytes,Fibroblasts,Fibroblasts,"Clara cells, Goblet cells",fibroblast,CL:0000057,preadipocyte,CL:0002334,fibroblast,CL:0000057,respiratory goblet cell,CL:0002370,10,-1,10,-1,0.2500,0.5556,0.2500,0.2222
