,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,2000,2000,2000,2000,2000,4,Lung,1.0,"GENE78,EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Vascular Endothelial Cells,10. Endothelial cells,CL:0002139,CL:0000115,endothelial cell of vascular tree,endothelial cell,endothelial cell,endothelial cell,4,4,4,4,0.4286,0.4286,0.5000,0.4286
1,2001,2001,2001,2001,2001,4,Lung,1.0,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5,GENE32",type i pneumocyte,type I pneumocyte,CL:0002062,Epithelial cells,CL:0000066,Alveolar type II cells,CL:0002063,Melanocytes,11. Urothelial cells,CL:0000148,CL:0000731,melanocyte,urothelial cell,epithelial cell,pulmonary alveolar type 2 cell,-1,-1,3,-1,0.5000,0.7143,0.2857,0.3750
2,2002,2002,2002,2002,2002,4,Lung,1.0,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU,GENE58",vein endothelial cell,vein endothelial cell,CL:0002543,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,12. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3,0.5000,0.5000,0.5000,0.5000
3,2003,2003,2003,2003,2003,4,Lung,1.0,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS,GENE52",alveolar fibroblast,,,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Chondrocytes,13. Extracellular matrix cells,CL:0000138,CL:0000327,chondrocyte,extracellular matrix secreting cell,fibroblast,fibroblast,-1,-1,2,2,0.6667,0.6667,0.3000,0.3750
4,2004,2004,2004,2004,2004,4,Lung,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE48",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic endothelial cells,CL:0002138,Lymphatic endothelial cells,CL:0002138,Pericytes,14. Lymphatic endothelial cells,CL:0000669,CL:0002138,pericyte,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,-1,0,0,0,1.0000,1.0000,0.2857,1.0000
5,2005,2005,2005,2005,2005,4,Lung,1.0,"GENE1,MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,Smooth muscle cells,CL:0000192,Smooth muscle cells,CL:0000192,Hayflick Cells,15. Smooth muscle cells,CL:0000000,CL:0000192,cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,5,2,2,2,0.6667,0.6667,0.1667,0.6667
6,2006,2006,2006,2006,2006,4,Lung,1.0,"AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1,GENE23",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,Plasmacytoid dendritic cells,CL:0000784,B cells,CL:0000236,Macrophages,16. Plasmacytoid dendritic cells,CL:0000235,CL:0000784,macrophage,plasmacytoid dendritic cell,plasmacytoid dendritic cell,b cell,-1,0,0,-1,1.0000,0.4000,0.5714,1.0000
7,2007,2007,2007,2007,2007,4,Lung,1.0,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB,GENE34",club cell,club cell,CL:0000158,Club cells,CL:0000158,Clara cells,CL:0000158,Mucus-Producing Cells,17. Club cells,CL:0000319,CL:0000158,mucus secreting cell,club cell,club cell,club cell,-1,0,0,0,1.0000,1.0000,0.3333,1.0000
8,2008,2008,2008,2008,2008,4,Lung,1.0,"GENE96,ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,18. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3,0.5000,0.5000,0.5000,0.5000
9,2009,2009,2009,2009,2009,4,Lung,1.0,"GENE81,PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,Pericytes,CL:0000669,Fibroblasts,CL:0000057,Pericytes,19. Pericytes,CL:0000669,CL:0000669,pericyte,pericyte,pericyte,fibroblast,-1,-1,-1,8,0.2857,0.2857,0.2857,0.2857
