,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new,RAG_clid,RAG_clname,manual_clid,manual_clname
0,0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,lung epithelial cell,2,0.7500,CL:0002062,pulmonary alveolar type 1 cell,CL:0000082,epithelial cell of lung
1,1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,B-cell,3,0.7000,CL:0000819,B-1 B cell,CL:0000236,B cell
2,2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,pulmonary epithelial cell,-1,0.4286,CL:0002324,basal-myoepithelial cell of mammary gland,CL:0000322,pulmonary alveolar epithelial cell
3,3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil,-1,0.5000,CL:0001054,CD14-positive monocyte,CL:0000775,neutrophil
4,4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,natural killer t cell,-1,0.3846,CL:0000492,CD4-positive helper T cell,CL:0000623,natural killer cell
5,5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,fibroblast,-1,-1,PATO:0001408,ciliated,CL:0000057,fibroblast
6,6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte,-1,-1,PATO:0002045,dendritic,CL:0000576,monocyte
7,7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,plasma cell,-1,0.2000,CL:0000057,fibroblast,CL:0000786,plasma cell
8,8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,club cell,-1,0.2857,CL:0002554,fibroblast of lymphatic vessel,CL:0000158,club cell
9,9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage,0,1.0000,CL:0000235,macrophage,CL:0000235,macrophage
10,10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell
11,11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,fibroblast,-1,0.2000,CL:0000786,plasma cell,CL:0000057,fibroblast
12,12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar epithelial cell type II,0,1.0000,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell
13,13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell,2,0.5000,CL:0002028,basophil mast progenitor cell,CL:0000097,mast cell
14,14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,nonclassical monocyte,2,0.6667,CL:0002396,"CD14-low, CD16-positive monocyte",CL:0000576,monocyte
15,15,Lung,1,0.25,"CDH5,CD81",Capillary,,,endothelial cell,4,-1,UBERON:0001982,capillary,CL:0000115,endothelial cell
