,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
2500,2500,2500,2500,Lung,5,1.0,"CD79A,IGHM,LINC01781,TNFRSF13B,TNFRSF13C,CD19,PAX5,VPREB3,BLK,MS4A1",b cell,B cell,CL:0000236,b cell,Plasma,"B, Plasma",B,Plasma cells
2501,2501,2501,2501,Lung,5,1.0,"SLC5A1,TCN1,PRB1,TTYH1,LINC01829,C6orf58,PRR4,LPO,ANO1,PRB3",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Serous,Serous,Serous,B cells
2502,2502,2502,2502,Lung,5,1.0,"CD163,HCLS1,AIF1,MAFB,LST1,MS4A6A,FGL2,CSF1R,FCGR3A,RNASE6",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,Classical Monocyte,"Macrophage, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte","Macrophage, Monocytes, and Dendritic","Macrophage, Dendritic cells"
2503,2503,2503,2503,Lung,5,1.0,"MT1M,LRRC32,SLC6A4,TIMP3,RAMP2,FAM107A,CLDN5,CALCRL,FCN3,VWF",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,Capillary Intermediate 1,"Alveolar Epithelial Type 1, Artery, Vein, Capillary, Capillary Intermediate 2, Bronchial Vessel 2, Adventitial Fibroblast, Lipofibroblast, Pericyte, Macrophage, EREG+ Dendritic",Capillary,"Capillary, Smooth muscle"
2504,2504,2504,2504,Lung,5,1.0,"SPARCL1,HPGD,RAMP2,IL1RL1,EMCN,TIMP3,EDNRB,GNG11,CLDN5,CA4",capillary aerocyte,,,epithelial cell,Capillary Aerocyte,"Alveolar Epithelial Type 1, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte, Differentiating Basal, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 1, Pericyte, Basophil/Mast 1, Basophil/Mast 2",Capillary Aerocyte and Basophil/Mast,"Bronchial vessel, Capillary, Fibroblast"
2505,2505,2505,2505,Lung,5,1.0,"UPK3B,ST6GALNAC5,MYRF,SCEL,NTM,PKDCC,RTKN2,ITLN2,MS4A15,NCKAP5",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Mesothelial, Myofibroblast, Adventitial Fibroblast, Basophil/Mast 1, Basophil/Mast 2",Alveolar Epithelial Type 1,"Alveolar epithelial type 1, Fibroblast"
2506,2506,2506,2506,Lung,5,1.0,"VWF,LIFR,C7,PRSS23,CLU,TIMP3,ACKR1,SPARCL1,RAMP3,IGFBP7",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,Vein,"Vein, Signaling Alveolar Epithelial Type 2, Artery, Capillary, Alveolar Fibroblast, Bronchial Vessel 1, Lipofibroblast, Basal, Mucous, Serous, Neuroendocrine, Myofibroblast, Fibromyocyte, Natural Killer T, Basophil/Mast 1, Basophil/Mast 2, Platelet/Megakaryocyte",Vein,"Adventitial fibroblast, Vein"
2507,2507,2507,2507,Lung,5,1.0,"DCN,C7,LUM,PTGDS,C1S,FBLN1,MGP,MFAP4,ADH1B,RARRES2",alveolar fibroblast,,,fibroblast,Adventitial Fibroblast,"Basal, Adventitial Fibroblast, Alveolar Fibroblast, Vein, Signaling Alveolar Epithelial Type 2, Lipofibroblast",Alveolar Fibroblast and Adventitial Fibroblast,"Mesothelial, Lymphatic"
2508,2508,2508,2508,Lung,5,1.0,"RELN,FOXC2,SCN3B,HOXD9,PROX1,MMRN1,STAB2,GPR182,CCL21,SEMA3D",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Ionocyte, Neuroendocrine",Lymphatic,"Vascular smooth muscle, Alveolar fibroblast"
2509,2509,2509,2509,Lung,5,1.0,"PLAC9,PLN,LMOD1,ACTG2,CRYAB,DES,CNN1,CARMN,MYH11,PPP1R14A",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,Vascular Smooth Muscle,"Artery, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle and Vascular Smooth Muscle,"Vascular smooth muscle, Airway smooth muscle"
