,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
500,500,500,500,500,1,Lung,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE31",mesothelial cell,mesothelial cell,CL:0000077,Club cell,CL:0000158,Alveolar cells,CL:0000583,Chondrocytes ,22. Synovial cells,CL:0000138,CL:0000214,chondrocyte,synovial cell,club cell,alveolar macrophage,-1,-1,-1,-1
501,501,501,501,501,1,Lung,1.0,"GENE85,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,Mesenchymal cell,CL:0008019,Endothelial cells,CL:0000115,Neurons,23. Mesenchymal stem cells,CL:0000540,CL:0000134,neuron,mesenchymal stem cell,mesenchymal cell,endothelial cell,10,1,-1,-1
502,502,502,502,502,1,Lung,1.0,"GENE63,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,Monocyte,CL:0000576,Inflammatory cells,CL:0009002,Macrophages,24. Myeloid cells,CL:0000235,CL:0000763,macrophage,myeloid cell,monocyte,inflammatory cell,3,3,1,-1
503,503,503,503,503,1,Lung,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE73",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,Ionocyte,CL:0005006,Club cells,CL:0000158,Salivary Gland Cells,25. Cholangiocytes,CL:0009005,CL:1000488,salivary gland cell,cholangiocyte,ionocyte,club cell,-1,-1,1,-1
504,504,504,504,504,2,Lung,0.25,"ARHGEF26,GENE9,LMO7,AGER,EMP2,GENE90,RTKN2,GPRC5A,SPOCK2,DST,SCEL,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,Alveolar epithelial cell,CL:0000322,Fibroblasts,CL:0000057,Epidermal Cells,1. Epithelial cells,CL:0000362,CL:0000066,epidermal cell,epithelial cell,pulmonary alveolar epithelial cell,fibroblast,-1,3,1,9
505,505,505,505,505,2,Lung,0.25,"GENE94,GENE30,MS4A1,LINC00926,BLK,SP140,CD79A,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B cell,CL:0000236,B cells,CL:0000236,B Cells,2. B cells,CL:0000236,CL:0000236,b cell,b cell,b cell,b cell,0,0,0,0
506,506,506,506,506,2,Lung,0.25,"CLDN1,GENE65,S100A2,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE43,ITGA2,KRT19",Basal,basal cell,CL:0000646,Basal cell,CL:0000646,Basal cells,CL:0000646,Epithelial Cells,3. Basal epithelial cells,CL:0000066,CL:0002236,epithelial cell,basal epithelial cell of prostatic duct,basal cell,basal cell,17,-1,0,0
507,507,507,507,507,2,Lung,0.25,"CSF3R,S100A9,S100A8,CTSS,METTL9,GENE57,CD99,VCAN,S100A12,FCN1,CD300E,GENE83",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,Neutrophil,CL:0000775,Macrophages,CL:0000235,Neutrophils,4. Neutrophils,CL:0000775,CL:0000775,neutrophil,neutrophil,neutrophil,macrophage,-1,-1,-1,3
508,508,508,508,508,2,Lung,0.25,"CD2,MALAT1,BCL11B,CD6,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE14,GENE4",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell,CL:0000084,T cells,CL:0000084,T cells,5. T cells,CL:0000084,CL:0000084,t cell,t cell,t cell,t cell,3,3,3,3
509,509,509,509,509,2,Lung,0.25,"C20orf85,DNAH6,FAM92B,GENE12,GENE87,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,Ciliated cell,CL:0000064,Specialized epithelial cells,CL:0002491,Ciliated Cells,6. Ciliated epithelial cells,CL:0000064,CL:0000067,ciliated cell,ciliated epithelial cell,ciliated cell,auditory epithelial cell,0,-1,0,-1
