,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
1500,1500,1500,1500,Lung,3,1.0,"SCN3B,PROX1,STAB2,FOXC2,SEMA3D,HOXD9,CCL21,RELN,GPR182,MMRN1",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Neuroendocrine",Lymphatic,"Neuroendocrine, Lymphatic"
1501,1501,1501,1501,Lung,3,1.0,"DES,CARMN,CNN1,PPP1R14A,ACTG2,PLN,PLAC9,MYH11,LMOD1,CRYAB",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,"Airway Smooth Muscle, Fibromyocyte, Vascular Smooth Muscle"
1502,1502,1502,1502,Lung,3,1.0,"AL139020.1,SCT,PLD4,LAMP5,AL357143.1,MZB1,FAM129C,CLEC4C,SPIB,LILRA4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"Plasmacytoid Dendritic, Myofibroblast",Plasmacytoid Dendritic,"Plasmacytoid Dendritic, Myofibroblast"
1503,1503,1503,1503,Lung,3,1.0,"CEACAM6,PIGR,CYP2B7P,GPRC5A,WFDC2,SFTPB,SCGB3A2,ELF3,NEDD4L,FOLR1",club cell,club cell,CL:0000158,epithelial cell,"Club, Goblet, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Mucous, Serous","Club, Goblet, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Differentiating Basal, Mucous, Serous, Mesothelial, Platelet/Megakaryocyte","Mixture of Club, Goblet, Alveolar Epithelial Type 1, Serous, Mucous","Club, Goblet, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2"
1504,1504,1504,1504,Lung,3,1.0,"CLDN5,LIFR,NPDC1,C7,ACKR1,CLU,PLVAP,SPARCL1,VWF,IGFBP7",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,"Vein, Bronchial Vessel 1, Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast, Capillary, Capillary Aerocyte, Capillary Intermediate 1, Platelet/Megakaryocyte, OLR1+ Classical Monocyte","Neuroendocrine, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Platelet/Megakaryocyte, OLR1+ Classical Monocyte, Signaling Alveolar Epithelial Type 2, Artery, Vein, Capillary",Combination of Vein and Capillary related subtypes,"Capillary, Artery, Vein, Lymphatic"
1505,1505,1505,1505,Lung,3,1.0,"PPP1R14A,BGN,PDGFRB,MYH11,GJA4,COX4I2,CCN5,LMOD1,PRELP,C2orf40",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,"Vascular Smooth Muscle, Pericyte, Airway Smooth Muscle, Fibromyocyte","Artery, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte, B, Platelet/Megakaryocyte, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, Vascular Smooth Muscle, Myofibroblast, Pericyte","Vascular, Airway Smooth Muscle, Pericyte","Pericyte, Vascular Smooth Muscle, Fibromyocyte, Myofibroblast"
1506,1506,1506,1506,Lung,3,1.0,"PLPPR4,SYT4,LRRC38,MKRN9P,LINC01902,RSPO1,FABP7,KCTD8,AC005821.1,GPR1",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Alveolar Fibroblast,Alveolar Fibroblast,Neuroendocrine,"Plasmacytoid Dendritic, Neuroendocrine"
1507,1507,1507,1507,Lung,3,1.0,"RGN,INMT,HIGD1B,KCNK3,COX4I2,BGN,NDUFA4L2,PDGFRB,PPP1R14A,TPM2",pericyte cell,pericyte,CL:0000669,pericyte,Pericyte,"Neuroendocrine, Pericyte, Alveolar Fibroblast, Vascular Smooth Muscle, Pericyte",Pericyte,"Neuroendocrine, Alveolar Fibroblast, Pericyte"
1508,1508,1508,1508,Lung,3,1.0,"VIPR2,CPB1,BCHE,PRG4,RSPO1,HAS1,BNC1,ITLN1,SYT4,ROR2",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,"Plasmacytoid Dendritic, Mesothelial, Alveolar Fibroblast","Plasmacytoid Dendritic, Myofibroblast, Mesothelial, Alveolar Fibroblast",Mixture of Plasmacytoid Dendritic and Alveolar Fibroblast,"Plasmacytoid Dendritic, Alveolar Fibroblast, Airway Smooth Muscle"
1509,1509,1509,1509,Lung,3,1.0,"ABCA6,COL1A2,TARID,AC009269.2,SGIP1,CARMN,SCN7A,AL135910.1,BMP5,CACNA1C",fibroblast,fibroblast,CL:0000057,fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast, Pericyte","Adventitial Fibroblast, Alveolar Fibroblast, Myofibroblast, Pericyte",Adventitial Fibroblast,"Adventitial Fibroblast, Myofibroblast, Lipofibroblast"
