,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
1500,1500,1500,Lung,3,1.0,"SCN3B,PROX1,STAB2,FOXC2,SEMA3D,HOXD9,CCL21,RELN,GPR182,MMRN1",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,14. Lymphatic endothelial cells,Lymphatic Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,CL:0000115,endothelial cell,CL:0000115,0,0,2,2
1501,1501,1501,Lung,3,1.0,"DES,CARMN,CNN1,PPP1R14A,ACTG2,PLN,PLAC9,MYH11,LMOD1,CRYAB",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,15. Smooth muscle cells,Smooth Muscle Cells,Smooth Muscle Cells,Smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,2,2,2,2
1502,1502,1502,Lung,3,1.0,"AL139020.1,SCT,PLD4,LAMP5,AL357143.1,MZB1,FAM129C,CLEC4C,SPIB,LILRA4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,16. Plasmacytoid dendritic cells,Plasma Cells,Neuroendocrine Cells,Pneumocytes type II,plasma cell,CL:0000786,plasmacytoid dendritic cell,CL:0000784,neuroendocrine cell,CL:0000165,type II pinealocyte,CL:0010014,-1,0,-1,-1
1503,1503,1503,Lung,3,1.0,"CEACAM6,PIGR,CYP2B7P,GPRC5A,WFDC2,SFTPB,SCGB3A2,ELF3,NEDD4L,FOLR1",club cell,club cell,CL:0000158,epithelial cell,17. Club cells,Lung Epithelial Cells,Epithelial Cells,Clara cells,epithelial cell of lung,CL:0000082,club cell,CL:0000158,epithelial cell,CL:0000066,club cell,CL:0000158,-1,0,2,0
1504,1504,1504,Lung,3,1.0,"CLDN5,LIFR,NPDC1,C7,ACKR1,CLU,PLVAP,SPARCL1,VWF,IGFBP7",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,18. Endothelial cells,Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,3,3,3,3
1505,1505,1505,Lung,3,1.0,"PPP1R14A,BGN,PDGFRB,MYH11,GJA4,COX4I2,CCN5,LMOD1,PRELP,C2orf40",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,19. Vascular smooth muscle cells,Smooth Muscle Cells,Pericytes,Fibroblasts,smooth muscle cell,CL:0000192,vascular associated smooth muscle cell,CL:0000359,pericyte,CL:0000669,fibroblast,CL:0000057,1,0,-1,8
1506,1506,1506,Lung,3,1.0,"PLPPR4,SYT4,LRRC38,MKRN9P,LINC01902,RSPO1,FABP7,KCTD8,AC005821.1,GPR1",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,20. Neurons,Neurons,Unknown,Nerve cells,neuron,CL:0000540,neuron,CL:0000540,cyanophore,CL:0000747,neuron,CL:0000540,9,9,-1,9
1507,1507,1507,Lung,3,1.0,"RGN,INMT,HIGD1B,KCNK3,COX4I2,BGN,NDUFA4L2,PDGFRB,PPP1R14A,TPM2",pericyte cell,pericyte,CL:0000669,pericyte,21. Mesenchymal stem cells,Cardiomyocytes,Unknown,Immune cells,fetal cardiomyocyte,CL:0002495,mesenchymal stem cell,CL:0000134,cyanophore,CL:0000747,leukocyte,CL:0000738,-1,9,-1,-1
1508,1508,1508,Lung,3,1.0,"VIPR2,CPB1,BCHE,PRG4,RSPO1,HAS1,BNC1,ITLN1,SYT4,ROR2",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,22. Chondrocytes,Adipocytes,Glandular Cells,Clara cells,adipocyte,CL:0000136,chondrocyte,CL:0000138,glandular epithelial cell,CL:0000150,club cell,CL:0000158,-1,-1,-1,-1
1509,1509,1509,Lung,3,1.0,"ABCA6,COL1A2,TARID,AC009269.2,SGIP1,CARMN,SCN7A,AL135910.1,BMP5,CACNA1C",fibroblast,fibroblast,CL:0000057,fibroblast,23. Fibroblasts,Cardiomyocytes,Stromal Fibroblasts,Fibroblasts,fetal cardiomyocyte,CL:0002495,fibroblast,CL:0000057,stromal cell of endometrium,CL:0002255,fibroblast,CL:0000057,-1,0,-1,0
1510,1510,1510,Lung,3,1.0,"FGL2,CORO1A,FCN1,LILRB2,MPEG1,VCAN,AIF1,RNASE2,CD300E,LILRA1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,24. Neutrophils,Macrophages,Macrophages,Macrophages,macrophage,CL:0000235,neutrophil,CL:0000775,macrophage,CL:0000235,macrophage,CL:0000235,3,-1,3,3
1511,1511,1511,Lung,3,1.0,"CEL,ATP6V1G3,DGKI,TMPRSS11E,CLCNKB,CLNK,LINC01187,HEPACAM2,PROX1,ASCL3",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,25. Acinar cells,Pancreatic Acinar Cells,Epithelial Cells,Epithelial cells,pancreatic acinar cell,CL:0002064,acinar cell,CL:0000622,epithelial cell,CL:0000066,epithelial cell,CL:0000066,-1,-1,2,2
1512,1512,1512,Lung,4,0.25,"ARHGEF26,SPOCK2",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,1. Schwann Cell Precursor,Endothelial cells,Epithelial Cells,Fibroblasts,endothelial cell,CL:0000115,schwann cell precursor,CL:0002375,epithelial cell,CL:0000066,fibroblast,CL:0000057,16,-1,3,9
1513,1513,1513,Lung,4,0.25,"CD79B,MS4A1",B,B cell,CL:0000236,b cell,2. B cell,B cells,B Cells,B cells,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,0,0,0,0
1514,1514,1514,Lung,4,0.25,"DST,S100A2",Basal,basal cell,CL:0000646,stem cell,3. Keratinocyte,Keratinocytes,Epithelial Cells,Fibroblasts,keratinocyte,CL:0000312,keratinocyte,CL:0000312,epithelial cell,CL:0000066,fibroblast,CL:0000057,-1,-1,17,-1
1515,1515,1515,Lung,4,0.25,"METTL9,FCN1",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,4. Monocyte,Monocytes,Monocytes,T cells,monocyte,CL:0000576,monocyte,CL:0000576,monocyte,CL:0000576,t cell,CL:0000084,1,1,1,7
1516,1516,1516,Lung,4,0.25,"CD2,MALAT1",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,5. T cell,T cells,T Cells,Goblet cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,goblet cell,CL:0000160,3,3,3,-1
1517,1517,1517,Lung,4,0.25,"CCDC170,ZMYND10",Ciliated,ciliated cell,CL:0000064,ciliated cell,6. Mammary Epithelial Cell,Bronchial Epithelial Cells,Epithelial Cells,Dendritic cells,bronchial epithelial cell,CL:0002328,mammary gland epithelial cell,CL:0002327,epithelial cell,CL:0000066,dendritic cell,CL:0000451,-1,-1,13,-1
1518,1518,1518,Lung,4,0.25,"FPR3,HLA-DPB1",Dendritic,dendritic cell,CL:0000451,dendritic cell,7. Dendritic Cell,Neutrophils,Dendritic Cells,Fibroblasts,neutrophil,CL:0000775,dendritic cell,CL:0000451,dendritic cell,CL:0000451,fibroblast,CL:0000057,-1,0,0,-1
1519,1519,1519,Lung,4,0.25,"LUM,ADH1B",Fibroblast,fibroblast,CL:0000057,fibroblast,8. Fibroblast,Hepatocytes,Fibroblasts,Endothelial cells,hepatocyte,CL:0000182,fibroblast,CL:0000057,fibroblast,CL:0000057,endothelial cell,CL:0000115,-1,0,0,-1
1520,1520,1520,Lung,4,0.25,"TBX1,IGFBP7",Lymphatic,,,immune cell,9. Smooth Muscle Cell,Fibroblasts,Mesenchymal Cells,Mesenchymal stem cells,fibroblast,CL:0000057,smooth muscle cell,CL:0000192,mesenchymal cell,CL:0008019,mesenchymal stem cell,CL:0000134,-1,-1,-1,-1
1521,1521,1521,Lung,4,0.25,"APOC1,SLCO2B1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,10. Hepatocyte,Hepatocytes,Goblet Cells,Endothelial cells,hepatocyte,CL:0000182,hepatocyte,CL:0000182,goblet cell,CL:0000160,endothelial cell,CL:0000115,-1,-1,-1,-1
1522,1522,1522,Lung,4,0.25,"KLRF1,GZMB",Natural Killer,natural killer cell,CL:0000623,t/nk cell,11. Natural Killer Cell,NK cells,Natural Killer Cells,Cytotoxic T cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,cytotoxic t cell,CL:0000910,0,0,0,-1
1523,1523,1523,Lung,4,0.25,"HSP90B1,POU2AF1",Plasma,plasma cell,CL:0000786,b cell,12. B cell,B cells,Activated B Cells,B cells,b cell,CL:0000236,b cell,CL:0000236,activated skeletal muscle satellite cell,CL:0008016,b cell,CL:0000236,4,4,-1,4
1524,1524,1524,Lung,4,0.25,"NAPSA,SFTPA2",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,13. Alveolar Type II Cell,Type II Pneumocytes,Alveolar Type II Cells,Alveolar type II cells,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,-1,0,0,0
