,Unnamed: 0.1,Unnamed: 0,dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_CLname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_CLname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_CLname,gpt-4o-mini-2024-07-18_CLID,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-2024-08-06_clid,gpt-4o-2024-08-06_clname,manual_clid,manual_clname,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4o-mini-2024-07-18_clid,gpt-4o-mini-2024-07-18_clname,gpt-4-0613_aggrement_modified,gpt-4-0613_aggrement_modified_new,gpt-4-0613_clid,gpt-4-0613_clname,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified_new,gpt-4-turbo-2024-04-09_clid,gpt-4-turbo-2024-04-09_clname
0,0,0,GOSH,neuroblastoma tissue,"LIM2,FGFBP2,KLRF1,NCR1,SPON2,LRRC43,S1PR5,SH2D1B,DTHD1,SLC1A7,PRF1,KLRC1,KRT72,B3GNT7,GNLY,MYOM2,LGALS9B,KIR2DL3,CLIC3,LGR6,NKG7,GZMB,SYTL3,RP11-308N19.1,PTGDR,CD160,RP11-81H14.2,RP11-121A8.1,TBX21,FASLG",natural killer cell,natural killer cell,CL:0000623,t/nk cell,Neuroblastoma Cells,Natural killer cells,Natural Killer Cells,neuroblastoma cells,cell,CL:0000000,natural killer cell,CL:0000623,natural killer cell,CL:0000623,cell,CL:0000000,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell,5,0.1250,CL:0000623,natural killer cell,5,0.1250,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell
1,1,1,GOSH,neuroblastoma tissue,"RP11-265P11.1,CTD-2215E18.1,LINC01013,RP11-524N5.1,IGHD,RP11-553K8.2,RP5-887A10.1,RP3-416J7.4,BEST3,RP11-693J15.5,GYLTL1B,RP3-431P23.5,LINC00926,FCER2,SLC23A1,TCL1B,CLLU1,MS4A1,COL19A1,RP11-164H13.1,VPREB3,FCRLA,OSBPL10-AS1,PAX5,AP001059.5,BMP3,LINC01374,TCL1A,CCDC191,RP11-297B17.3",B cell,B cell,CL:0000236,B cell,Neuroblastoma Cells,Cancer-associated fibroblasts,Neuroblasts,neuroblastoma cells,cell,CL:0000000,fibroblast,CL:0000057,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,13,0.2500,CL:0000236,B cell,CL:0000057,fibroblast,6,0.1429,CL:0000236,B cell,6,0.1429,CL:0000236,B cell,-1,0.2222,CL:0000236,B cell
2,2,2,GOSH,neuroblastoma tissue,"LINC00211,RP11-552D4.1,OLIG1,RP11-362F19.3,CTC-490G23.2,RP11-561P12.5,CLEC6A,PPP1R17,RP11-737O24.5,RP11-362F19.1,S100A12,IRG1,HAL,VSTM1,RP11-764K9.1,LIPN,S100A9,CLEC4D,S100A8,SLC24A4,FPR1,VNN1,PROK2,SIGLEC5,SERPINB10,ACPP,MEFV,C19orf35,FCN1,HP",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblastoma Cells,Cancer-associated fibroblasts,Neuroblasts,neuroblastoma cells,cell,CL:0000000,fibroblast,CL:0000057,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,10,0.5000,CL:0000763,myeloid cell,CL:0000057,fibroblast,2,0.3333,CL:0000763,myeloid cell,2,0.3333,CL:0000763,myeloid cell,-1,0.4000,CL:0000763,myeloid cell
3,3,3,GOSH,neuroblastoma tissue,"DBX2,LINC01351,LRRC71,ENOX1-AS1,NPFF,RP4-753F5.1,NKX6-2,TSPY2,AC105402.4,RP11-49P4.7,RP11-29B2.6,AC007250.4,CIDEA,POF1B,UNC5B-AS1,CTD-2313P7.1,RP11-403A21.1,RP11-62H20.1,RP11-147C23.1,CTD-2523D13.2,CARTPT,SGCZ,ASIC2,UCN3,C1QL4,IGF2-AS,SORCS3,ADCY8,PROKR1,CTA-796E4.4",neuroblastoma cell,neuroendocrine cell,CL:0000165,neuron,Neuroblastoma Cells,Cancer-associated fibroblasts,Neural Progenitor Cells,neuroblastoma cells,cell,CL:0000000,fibroblast,CL:0000057,neural progenitor cell,CL:0011020,cell,CL:0000000,-1,0.1429,CL:0000165,neuroendocrine cell,CL:0000057,fibroblast,3,0.2500,CL:0000165,neuroendocrine cell,3,0.2500,CL:0000165,neuroendocrine cell,-1,0.3333,CL:0000165,neuroendocrine cell
4,4,4,GOSH,neuroblastoma tissue,"MDGA2,RALYL,RP11-746B8.1,CTC-575N7.1,HCRTR2,WNT6,SST,NPAS4,TMEM132D,RP11-446H18.6,LINC00951,RP11-168K9.2,TMEM132E,RP11-1109F11.5,GRIN2A,TENM2,VIP,RP11-283G6.4,LRFN2,ADCY5,AC003986.5,RP11-161D15.2,CTD-2240J17.1,DKK1,CDH20,RP5-1102E8.3,RP11-1102P16.1,U91319.1,TRBVB,BRINP1",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblastoma Cells,Cancer-associated fibroblasts,Neuroblasts,neuroblastoma cells,cell,CL:0000000,fibroblast,CL:0000057,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,3,0.2857,CL:0000166,neuroendocrine cell,CL:0000057,fibroblast,5,0.2000,CL:0000166,neuroendocrine cell,5,0.2000,CL:0000166,neuroendocrine cell,-1,0.2500,CL:0000166,neuroendocrine cell
5,5,5,GOSH,neuroblastoma tissue,"KRT73-AS1,KRT1,ST6GALNAC1,ANKRD55,RP11-664D1.1,HBE1,TSPO2,GCNT4,NOG,REG4,PASK,C9orf135,PRKG2,RP1-187B23.1,ERVH48-1,AC097713.4,ADTRP,TRBV28,MDS2,CELA1,HBG2,LEF1,IL7R,GYPB,ALAS2,CCR7,UNC45B,LYPD3,TDRD12,CD28",T cell,T cell,CL:0000084,t/nk cell,"Keratinocytes, Neuroblastoma Cells",Epithelial cells,Keratinocytes (possibly tumor-associated),"keratinocytes, neuroblastoma cells",cell,CL:0000000,epithelial cell,CL:0000066,border associated macrophage,CL:4042003,cell,CL:0000000,-1,0.3636,CL:0000084,T cell,CL:0000066,epithelial cell,5,0.1667,CL:0000084,T cell,5,0.1667,CL:0000084,T cell,12,0.2857,CL:0000084,T cell
6,6,6,GOSH,neuroblastoma tissue,"RSPO4,GABRA5,RP11-91P17.1,RP11-546B8.6,HAPLN4,AGXT,RP5-968D22.1,RP11-1038A11.3,FEV,ALX3,ABCA12,ZNF560,ASCL1,LINC01563,AC093375.1,RP11-197K6.1,ARL9,MUC4,RP11-129M6.1,AC002076.10,CRYGD,RP11-328K4.1,LLNLR-249E10.1,DDN,RP11-132A1.4,RP5-1096J16.1,CPLX3,AC097468.4,PAGE2,SELV",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,"Neurons, Neuroblastoma Cells",Neurons,Neuron-like Cells,neuroblastoma cells,granule cell,CL:0000120,neuron,CL:0000540,neuron associated cell,CL:0000095,cell,CL:0000000,-1,0.4286,CL:0000166,neuroendocrine cell,CL:0000540,neuron,5,0.2000,CL:0000166,neuroendocrine cell,-1,0.5000,CL:0000166,neuroendocrine cell,2,0.6667,CL:0000166,neuroendocrine cell
7,7,7,GOSH,neuroblastoma tissue,"CCL18,RP11-20G13.3,RP11-489O18.1,APOC4-APOC2,SIGLEC8,RP11-202G18.1,TREM2,RP3-369A17.4,DNASE2B,CTB-138E5.1,BIRC7,ADAMDEC1,RP11-212I21.5,RP11-10J5.1,MMP12,TNFSF18,MMP1,LINC01305,APOC2,SDS,L3MBTL4-AS1,RP3-460G2.2,APOC1,MT1H,AC004988.1,SPP1,CHI3L1,OTOA,NT5DC4,UBD",myeloid cell,myeloid cell,CL:0000763,myeloid cell,"Macrophages, Neuroblastoma Cells",Macrophages,Monocytes/Macrophages,"immune cells, neuroblastoma cells",lung macrophage,CL:1001603,macrophage,CL:0000235,macrophage,CL:0000235,multinucleate cell,CL:0000228,-1,0.6000,CL:0000763,myeloid cell,CL:0000235,macrophage,-1,0.5000,CL:0000763,myeloid cell,-1,0.5000,CL:0000763,myeloid cell,-1,0.6000,CL:0000763,myeloid cell
8,8,8,GOSH,neuroblastoma tissue,"RP5-997D24.3,TRAV27,CCL1,RP11-357H14.17,UNQ6494,CTD-3195I5.3,AP001171.1,LINC00880,IL26,CXCL13,TRBV18,FOXP3,RP11-764E7.1,TRAV36DV7,GBP7,PVALB,RP11-403B2.7,PCAT29,GML,AC017002.1,TNIP3,ZBED2,FAM9B,RP11-223C24.1,AC133644.2,RP11-73M14.1,C2CD4D,ZBTB32,ZFP57,C15orf53",T cell,T cell,CL:0000084,t/nk cell,"T cells, Macrophages, Neuroblastoma Cells",T cells,T cells/NK T cells,neuroblastoma cells,T-helper 9 cell,CL:0002061,t cell,CL:0000084,mature NK T cell,CL:0000814,cell,CL:0000000,-1,0.6667,CL:0000084,T cell,CL:0000084,t cell,5,0.1667,CL:0000084,T cell,-1,0.5455,CL:0000084,T cell,0,1.0000,CL:0000084,T cell
9,9,9,GOSH,neuroblastoma tissue,"ZNF488,GLRA2,RP11-126K15.1,GRK1,CTD-2659N19.2,PRSS8,AC097381.1,GRM2,AC015849.16,RP4-585I14.3,AC016629.3,RP11-31E13.2,PBK,TRBV23OR9-2,RP11-845C23.3,RP13-672B3.2,AC068057.1,PRH1-PRR4,LINC01264,LINC00403,SPDYE2,ZNF732,IL17RB,NHLH2,GABRB2,FAM64A,RP11-699A5.2,VWA7,GS1-24F4.2,RP5-1166F10.1",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,"Neurons, Neuroblastoma Cells",Neurons,Neuroblasts,neuroblastoma cells,granule cell,CL:0000120,neuron,CL:0000540,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,3,0.2857,CL:0000166,neuroendocrine cell,CL:0000540,neuron,5,0.2000,CL:0000166,neuroendocrine cell,-1,0.5000,CL:0000166,neuroendocrine cell,2,0.6667,CL:0000166,neuroendocrine cell
