,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,0,0,0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Fibroblasts,Cardiomyocytes,Epithelial cells,Epithelial cells,fetal cardiomyocyte,CL:0002495,fibroblast,CL:0000057,epithelial cell,CL:0000066,epithelial cell,CL:0000066,-1,9,3,3,0.5000,0.5000,0.2222,0.2500
1,1,1,1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,b cell,B cells,B Cells,B cells,B cells,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,0,0,0,0,1.0000,1.0000,1.0000,1.0000
2,2,2,2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,stem cell,Epithelial cells,Hepatocytes,Epithelial cells,Club cells,hepatocyte,CL:0000182,epithelial cell,CL:0000066,epithelial cell,CL:0000066,club cell,CL:0000158,-1,17,17,-1,0.3333,0.2857,0.2857,0.3333
3,3,3,3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Myeloid cells,Neutrophils,Neutrophils,Neutrophils,neutrophil,CL:0000775,myeloid cell,CL:0000763,neutrophil,CL:0000775,neutrophil,CL:0000775,-1,3,-1,-1,0.5000,0.5000,0.5000,0.5000
4,4,4,4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T Cells,T cells,T cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,3,3,3,3,0.6667,0.6667,0.6667,0.6667
5,5,5,5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,ciliated cell,Unknown,Breast epithelial cells,Fibroblasts,Fibroblasts,mammary gland epithelial cell,CL:0002327,cyanophore,CL:0000747,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1,0.4000,0.4000,0.4000,0.5000
6,6,6,6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,Myeloid cells,Monocytes,Dendritic cells,Dendritic cells,monocyte,CL:0000576,myeloid cell,CL:0000763,dendritic cell,CL:0000451,dendritic cell,CL:0000451,-1,-1,0,0,1.0000,1.0000,0.6667,0.3333
7,7,7,7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,fibroblast,Complement system cells,Macrophages,Hepatocytes,Macrophages,macrophage,CL:0000235,His-Purkinje system cell,CL:0010007,hepatocyte,CL:0000182,macrophage,CL:0000235,-1,-1,-1,-1,0.3333,0.2857,0.2857,0.3333
8,8,8,8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,immune cell,Epithelial cells,Goblet Cells,Goblet cells,Mucous cells,goblet cell,CL:0000160,epithelial cell,CL:0000066,goblet cell,CL:0000160,mucus secreting cell,CL:0000319,-1,10,-1,-1,0.2857,0.1250,0.2857,0.3333
9,9,9,9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,Monocytes,Macrophages,Alveolar macrophages,monocyte,CL:0000576,macrophage,CL:0000235,macrophage,CL:0000235,alveolar macrophage,CL:0000583,1,0,0,-1,1.0000,0.7143,0.6667,1.0000
10,10,10,10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer cells,Natural Killer Cells,Natural Killer Cells,Natural killer cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0,1.0000,1.0000,1.0000,1.0000
11,11,11,11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,b cell,Unknown,Endoplasmic Reticulum Cells,Pulmonary Alveolar Epithelial Cells,Type II alveolar cells,reticular cell,CL:0000432,cyanophore,CL:0000747,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,-1,-1,-1,-1,0.1818,0.2000,0.1818,0.2222
12,12,12,12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar cells,Alveolar Type II Cells,Type II Pneumocytes,Type II alveolar cells,pulmonary alveolar type 2 cell,CL:0002063,alveolar macrophage,CL:0000583,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar type 2 cell,CL:0002063,0,-1,-1,0,-1,1.0000,1.0000,0.2500
13,13,13,13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast cells,Mast Cells,Mast Cells,Mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,-1,-1,-1,-1,-1,-1,-1
14,14,14,14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,macrophage/monocyte,Monocytes,Dendritic Cells,Alveolar Macrophages,Macrophages,dendritic cell,CL:0000451,monocyte,CL:0000576,alveolar macrophage,CL:0000583,macrophage,CL:0000235,5,2,-1,4,0.4000,0.5000,0.5000,0.6667
15,15,15,15,Lung,1,0.25,"CDH5,CD81",Capillary,,,blood vessel cell,Endothelial cells,Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,4,4,4,4,-1,-1,-1,-1
16,16,16,16,Lung,1,0.25,"RPL34,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,"Ribosomal proteins, broad",Ribosomal Cells,Epithelial Cells,Alveolar epithelial cells,cell,CL:0000000,broad diffuse amacrine cell,CL:0004228,epithelial cell,CL:0000066,pulmonary alveolar epithelial cell,CL:0000322,8,-1,15,-1,0.2000,0.1667,0.1111,0.1429
17,17,17,17,Lung,1,0.25,"KIAA1324,CTSE",Club,club cell,CL:0000158,epithelial cell,Unknown,Gastric Parietal Cells,Clara Cells,Alveolar macrophages,parietal cell,CL:0000162,cyanophore,CL:0000747,club cell,CL:0000158,alveolar macrophage,CL:0000583,-1,-1,0,-1,1.0000,0.2500,0.3333,0.4000
18,18,18,18,Lung,1,0.25,"POSTN,CALD1",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,Fibroblasts,Fibroblasts,Alveolar type I cells,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,-1,-1,0.6000,0.2500,0.6000,0.6000
19,19,19,19,Lung,1,0.25,"NPC2,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Unknown,Hepatocytes,Pulmonary Surfactant-Associated Cells,Alveolar type I cells,hepatocyte,CL:0000182,cyanophore,CL:0000747,surfactant secreting cell,CL:0000157,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,-1,-1,0.1250,0.2000,0.2500,0.2857
20,20,20,20,Lung,1,0.25,"TPX2,NUSAP1",Proliferating Macrophage,,,macrophage/monocyte,Mitotic cells,Mitotic Cells,Proliferating Cells,Lung cancer cells,basal cell,CL:0000646,basal cell,CL:0000646,cycling B cell,CL:4033068,lung goblet cell,CL:1000143,-1,-1,-1,-1,0.3636,0.2222,0.2500,0.2500
21,21,21,21,Lung,1,0.25,"KIF2C,CENPF",Proliferating NK/T,,,t/nk cell,Mitotic cells,Mitotic Cells,Proliferating Cells,Lung epithelial cells,basal cell,CL:0000646,basal cell,CL:0000646,cycling B cell,CL:4033068,epithelial cell of lung,CL:0000082,-1,-1,-1,-1,0.4167,0.1538,0.1667,0.1667
22,22,22,22,Lung,1,0.25,"SPRY1,VWF",Bronchial Vessel,,,bronchial cell,Endothelial cells,Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,13,13,13,13,0.2857,0.2857,0.2857,0.2857
